Format Version,1.23,Take Name,rotation_random_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-17 05.11.53.592 PM,Total Frames in Take,2772,Total Exported Frames,2772,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.007582,0.365231,-0.027175,-0.930489,0.334063,0.782895,0.457813,0.000287,0.284351,0.768754,0.405861,0.931121,0.386750,0.767684,0.411398,0.944604,0.285653,0.770857,0.445567,0.924317,0.383267,0.769384,0.455449,0.899636,0.330295,0.837798,0.570792,0.910840,-0.000727,0.003344,0.002240,-0.999992,0.186672,0.725639,0.904153,0.000763,0.242645,0.753952,1.142130,0.828263,0.664511,0.712087,1.218914,0.939090,-0.316167,0.725533,0.470899,0.000001,-0.322514,0.725854,1.214110,0.958019,0.664883,0.710769,0.474713,0.911174,0.284521,0.768866,0.405675,0.386900,0.767622,0.411248,0.285596,0.770560,0.445589,0.382874,0.769458,0.455479,0.330426,0.837970,0.571076,0.242222,0.753891,1.142667,0.664562,0.712146,1.218683,-0.318399,0.720582,0.472290,-0.322378,0.725915,1.214033,0.665141,0.710760,0.474470
7,0.070000,0.007615,0.365190,-0.027244,-0.930503,0.334068,0.782891,0.457807,0.000277,0.284353,0.768738,0.405861,0.931121,0.386752,0.767680,0.411389,0.944604,0.285658,0.770845,0.445566,0.924317,0.383273,0.769384,0.455440,0.899636,0.330304,0.837806,0.570780,0.910840,-0.000748,0.003342,0.002224,-0.999992,0.186682,0.725641,0.904159,0.000760,0.242656,0.753946,1.142136,0.828263,0.664524,0.712091,1.218918,0.939090,-0.316157,0.725537,0.470907,0.000001,-0.322502,0.725827,1.214118,0.958019,0.664892,0.710804,0.474717,0.911174,0.284514,0.768845,0.405678,0.386905,0.767627,0.411241,0.285608,0.770556,0.445587,0.382874,0.769457,0.455484,0.330439,0.837969,0.571046,0.242221,0.753887,1.142666,0.664583,0.712148,1.218671,-0.318382,0.720596,0.472291,-0.322369,0.725887,1.214048,0.665157,0.710795,0.474490
8,0.080000,0.007809,0.365492,-0.026296,-0.930410,0.334095,0.782992,0.457813,0.000263,0.284387,0.768951,0.405829,0.933387,0.386781,0.767697,0.411425,0.945073,0.285671,0.771043,0.445536,0.926361,0.383276,0.769393,0.455474,0.897974,0.330361,0.837875,0.570802,0.914849,-0.000733,0.003346,0.002233,-0.999992,0.186676,0.725638,0.904152,0.000762,0.242649,0.753949,1.142129,0.828094,0.664515,0.712089,1.218915,0.934910,-0.316160,0.725530,0.470895,0.000001,-0.322511,0.725843,1.214106,0.959456,0.664889,0.710779,0.474714,0.912857,0.284515,0.768855,0.405667,0.386898,0.767636,0.411250,0.285781,0.771046,0.445614,0.382863,0.769451,0.455472,0.330419,0.837970,0.571063,0.242218,0.753873,1.142662,0.664577,0.712154,1.218680,-0.318392,0.720589,0.472282,-0.322382,0.725911,1.214033,0.665151,0.710771,0.474476
9,0.090000,0.007795,0.365497,-0.026257,-0.930410,0.334098,0.782990,0.457818,0.000263,0.284390,0.768955,0.405833,0.943446,0.386783,0.767694,0.411429,0.944460,0.285673,0.771044,0.445540,0.967299,0.383278,0.769388,0.455478,0.895411,0.330366,0.837867,0.570810,0.930090,-0.000721,0.003339,0.002223,-0.999992,0.186677,0.725640,0.904154,0.000764,0.242652,0.753958,1.142129,0.827714,0.664520,0.712108,1.218911,0.937959,-0.316165,0.725512,0.470904,0.000001,-0.322506,0.725842,1.214115,0.959281,0.664885,0.710781,0.474710,0.909989,0.284526,0.768865,0.405676,0.386893,0.767630,0.411247,0.285781,0.771041,0.445613,0.382865,0.769450,0.455486,0.330425,0.837961,0.571067,0.242222,0.753893,1.142664,0.664574,0.712169,1.218676,-0.318395,0.720598,0.472280,-0.322374,0.725905,1.214044,0.665150,0.710772,0.474467
10,0.100000,0.007591,0.365245,-0.027261,-0.930481,0.334066,0.782900,0.457812,0.000290,0.284358,0.768746,0.405859,0.929879,0.386757,0.767693,0.411399,0.945107,0.285659,0.770853,0.445565,0.925701,0.383272,0.769396,0.455450,0.898947,0.330286,0.837812,0.570786,0.910822,-0.000730,0.003344,0.002223,-0.999992,0.186683,0.725646,0.904155,0.000763,0.242656,0.753959,1.142131,0.828240,0.664523,0.712108,1.218915,0.936807,-0.316155,0.725525,0.470901,0.000001,-0.322503,0.725842,1.214112,0.958962,0.664894,0.710794,0.474715,0.912206,0.284529,0.768852,0.405663,0.386907,0.767641,0.411248,0.285604,0.770563,0.445598,0.382875,0.769461,0.455481,0.330418,0.837984,0.571069,0.242224,0.753900,1.142662,0.664581,0.712165,1.218676,-0.318393,0.720616,0.472292,-0.322368,0.725903,1.214039,0.665157,0.710784,0.474481
11,0.110000,0.007815,0.365503,-0.026314,-0.930405,0.334102,0.782992,0.457820,0.000264,0.284396,0.768949,0.405835,0.929879,0.386789,0.767698,0.411433,0.945107,0.285678,0.771042,0.445542,0.925701,0.383283,0.769395,0.455482,0.898947,0.330363,0.837878,0.570807,0.910822,-0.000743,0.003342,0.002237,-0.999992,0.186678,0.725646,0.904157,0.000759,0.242653,0.753952,1.142133,0.828240,0.664519,0.712087,1.218915,0.936807,-0.316162,0.725551,0.470904,0.000001,-0.322507,0.725849,1.214115,0.958962,0.664887,0.710792,0.474714,0.912206,0.284518,0.768854,0.405670,0.386909,0.767648,0.411259,0.285783,0.771040,0.445614,0.382874,0.769442,0.455484,0.330425,0.837979,0.571072,0.242232,0.753893,1.142668,0.664565,0.712145,1.218675,-0.318390,0.720588,0.472273,-0.322373,0.725909,1.214043,0.665150,0.710783,0.474479
12,0.120000,0.007556,0.365175,-0.027338,-0.930507,0.334068,0.782886,0.457807,0.000278,0.284355,0.768725,0.405862,0.943332,0.386754,0.767689,0.411387,0.945691,0.285661,0.770831,0.445567,0.968142,0.383276,0.769391,0.455438,0.896998,0.330296,0.837796,0.570782,0.927666,-0.000740,0.003346,0.002235,-0.999992,0.186677,0.725647,0.904157,0.000759,0.242649,0.753955,1.142135,0.829352,0.664515,0.712091,1.218920,0.937051,-0.316160,0.725548,0.470901,0.000001,-0.322510,0.725850,1.214112,0.959052,0.664890,0.710793,0.474719,0.911726,0.284515,0.768849,0.405669,0.386902,0.767647,0.411251,0.285612,0.770514,0.445587,0.382874,0.769453,0.455480,0.330440,0.837968,0.571049,0.242223,0.753872,1.142670,0.664580,0.712160,1.218683,-0.318392,0.720604,0.472287,-0.322380,0.725920,1.214032,0.665143,0.710786,0.474487
13,0.130000,0.007570,0.365220,-0.027197,-0.930493,0.334067,0.782892,0.457815,0.000285,0.284354,0.768748,0.405863,0.929646,0.386753,0.767684,0.411398,0.945855,0.285657,0.770851,0.445569,0.924493,0.383271,0.769383,0.455449,0.899990,0.330299,0.837794,0.570793,0.912580,-0.000739,0.003343,0.002248,-0.999992,0.186683,0.725634,0.904150,0.000768,0.242657,0.753941,1.142127,0.826936,0.664523,0.712066,1.218910,0.938454,-0.316156,0.725547,0.470897,0.000001,-0.322503,0.725850,1.214108,0.959520,0.664892,0.710766,0.474709,0.909175,0.284529,0.768859,0.405673,0.386895,0.767631,0.411243,0.285601,0.770555,0.445597,0.382879,0.769450,0.455491,0.330431,0.837964,0.571069,0.242224,0.753889,1.142664,0.664578,0.712121,1.218676,-0.318395,0.720593,0.472286,-0.322369,0.725908,1.214037,0.665160,0.710756,0.474463
14,0.140000,0.007615,0.365191,-0.027216,-0.930504,0.334069,0.782889,0.457805,0.000281,0.284353,0.768740,0.405858,0.930107,0.386753,0.767676,0.411387,0.947569,0.285659,0.770846,0.445564,0.926757,0.383273,0.769380,0.455438,0.896244,0.330307,0.837802,0.570778,0.914297,-0.000725,0.003339,0.002232,-0.999992,0.186682,0.725631,0.904155,0.000765,0.242658,0.753946,1.142130,0.827821,0.664525,0.712088,1.218911,0.938630,-0.316160,0.725516,0.470906,0.000001,-0.322501,0.725840,1.214117,0.958326,0.664889,0.710767,0.474710,0.910721,0.284524,0.768839,0.405660,0.386900,0.767632,0.411244,0.285604,0.770560,0.445593,0.382867,0.769448,0.455483,0.330451,0.837965,0.571044,0.242228,0.753891,1.142666,0.664577,0.712144,1.218678,-0.318395,0.720589,0.472291,-0.322363,0.725899,1.214043,0.665152,0.710757,0.474468
15,0.150000,0.007814,0.365484,-0.026327,-0.930412,0.334094,0.783000,0.457819,0.000268,0.284386,0.768955,0.405836,0.930107,0.386779,0.767706,0.411429,0.947569,0.285670,0.771047,0.445543,0.926757,0.383275,0.769403,0.455479,0.896244,0.330358,0.837886,0.570806,0.914297,-0.000724,0.003343,0.002234,-0.999992,0.186675,0.725643,0.904159,0.000760,0.242649,0.753958,1.142134,0.827821,0.664516,0.712099,1.218919,0.938630,-0.316164,0.725528,0.470905,0.000001,-0.322510,0.725853,1.214116,0.958326,0.664885,0.710776,0.474718,0.910721,0.284513,0.768864,0.405673,0.386898,0.767649,0.411250,0.285776,0.771041,0.445616,0.382863,0.769455,0.455481,0.330418,0.837988,0.571073,0.242220,0.753893,1.142667,0.664576,0.712159,1.218680,-0.318390,0.720595,0.472285,-0.322380,0.725917,1.214043,0.665147,0.710767,0.474483
