Format Version,1.23,Take Name,linear_t0_may_15,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 10.28.12.880 AM,Total Frames in Take,1014,Total Exported Frames,1014,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.000975,0.008666,-0.000146,-0.999962,0.672701,0.081663,-0.013929,0.000194,0.171255,0.067649,-0.476331,0.951787,0.914405,0.064949,-0.523618,0.915772,0.874110,0.105872,0.040407,0.850255,0.975557,0.072925,0.460793,0.939849,0.233617,0.071908,0.505829,0.935780,0.867262,0.106673,-0.090654,0.949599,-0.045627,-0.048198,-0.017763,-0.997637,0.364975,0.127179,-0.061646,0.000343,0.288886,0.109700,-0.042337,0.923186,0.335784,0.115504,-0.063479,0.831905,0.392074,0.091382,-0.118134,0.906946,0.385267,0.186228,-0.110790,0.868746,0.390300,0.176984,-0.013563,0.929720,0.397539,0.083274,-0.021569,0.000000,0.289212,0.109737,-0.042418,0.335686,0.116076,-0.063845,0.392230,0.091104,-0.118148,0.384768,0.185916,-0.110709,0.390415,0.176965,-0.013186,0.398235,0.083511,-0.022925,0.171304,0.067541,-0.476188,0.914238,0.065234,-0.523500,0.874221,0.105270,0.040429,0.975475,0.073063,0.460611,0.233618,0.072053,0.505613,0.867348,0.106815,-0.090540
7,0.070000,0.000985,0.008666,-0.000140,-0.999962,0.672707,0.081652,-0.013939,0.000194,0.171260,0.067637,-0.476340,0.953093,0.914410,0.064925,-0.523627,0.912082,0.874116,0.105860,0.040397,0.846299,0.975563,0.072920,0.460783,0.938553,0.233623,0.071914,0.505819,0.933792,0.867268,0.106659,-0.090665,0.951115,-0.044851,-0.047636,-0.017692,-0.997701,0.365014,0.127044,-0.061539,0.000375,0.288901,0.109604,-0.042292,0.920362,0.335823,0.115370,-0.063389,0.808777,0.392173,0.091157,-0.117942,0.874274,0.385369,0.186014,-0.110752,0.848846,0.390290,0.176920,-0.013505,0.891074,0.397526,0.083197,-0.021358,0.000000,0.289209,0.109656,-0.042351,0.335737,0.116006,-0.063804,0.392397,0.090707,-0.117934,0.384789,0.185854,-0.110693,0.390423,0.176843,-0.013097,0.398238,0.083481,-0.022677,0.171308,0.067532,-0.476192,0.914240,0.065211,-0.523513,0.874241,0.105258,0.040417,0.975481,0.073066,0.460603,0.233620,0.072056,0.505596,0.867349,0.106790,-0.090545
8,0.080000,0.000987,0.008664,-0.000145,-0.999962,0.672702,0.081650,-0.013937,0.000185,0.171254,0.067628,-0.476337,0.953093,0.914404,0.064923,-0.523626,0.912082,0.874112,0.105860,0.040397,0.846299,0.975561,0.072922,0.460783,0.938553,0.233621,0.071909,0.505823,0.933792,0.867263,0.106658,-0.090664,0.951115,-0.045038,-0.047750,-0.017737,-0.997686,0.365103,0.126954,-0.061555,0.000383,0.288996,0.109501,-0.042295,0.920362,0.335913,0.115278,-0.063401,0.808777,0.392252,0.091091,-0.117977,0.874274,0.385442,0.185945,-0.110749,0.848846,0.390386,0.176815,-0.013507,0.891074,0.397628,0.083095,-0.021397,0.000000,0.289338,0.109529,-0.042402,0.335795,0.115933,-0.063745,0.392457,0.090656,-0.117974,0.384881,0.185773,-0.110674,0.390517,0.176739,-0.013136,0.398332,0.083401,-0.022691,0.171303,0.067533,-0.476197,0.914239,0.065182,-0.523531,0.874223,0.105274,0.040430,0.975476,0.073066,0.460607,0.233623,0.072038,0.505612,0.867350,0.106806,-0.090544
9,0.090000,0.000993,0.008665,-0.000143,-0.999962,0.672699,0.081655,-0.013936,0.000191,0.171251,0.067629,-0.476336,0.954369,0.914401,0.064921,-0.523624,0.917923,0.874108,0.105865,0.040399,0.850382,0.975556,0.072932,0.460785,0.938624,0.233616,0.071923,0.505824,0.936292,0.867260,0.106662,-0.090662,0.948369,-0.043751,-0.047339,-0.017767,-0.997762,0.365126,0.126813,-0.061556,0.000368,0.289005,0.109398,-0.042319,0.902429,0.335940,0.115128,-0.063398,0.792124,0.392330,0.090809,-0.117863,0.885141,0.385500,0.185680,-0.110884,0.854854,0.390360,0.176799,-0.013614,0.943859,0.397622,0.083061,-0.021258,0.000000,0.289384,0.109375,-0.042407,0.335783,0.115865,-0.063749,0.392521,0.090395,-0.117805,0.384988,0.185509,-0.110671,0.390457,0.176680,-0.013451,0.398351,0.083391,-0.022551,0.171307,0.067535,-0.476190,0.914228,0.065182,-0.523525,0.874223,0.105278,0.040432,0.975471,0.073078,0.460607,0.233620,0.072052,0.505604,0.867344,0.106807,-0.090542
10,0.100000,0.000988,0.008664,-0.000134,-0.999962,0.672705,0.081655,-0.013937,0.000185,0.171256,0.067643,-0.476336,0.954369,0.914406,0.064923,-0.523626,0.917923,0.874115,0.105861,0.040398,0.850382,0.975564,0.072922,0.460784,0.938624,0.233624,0.071925,0.505823,0.936292,0.867267,0.106659,-0.090664,0.948369,-0.045301,-0.048700,-0.018717,-0.997610,0.365219,0.126953,-0.061637,0.000383,0.289183,0.109335,-0.042249,0.902429,0.336050,0.115219,-0.063437,0.792124,0.392338,0.091178,-0.118130,0.885141,0.385349,0.186014,-0.110834,0.854854,0.390489,0.176836,-0.013606,0.943859,0.397906,0.083136,-0.021565,0.000000,0.289436,0.109271,-0.042389,0.335888,0.115828,-0.063748,0.392554,0.090398,-0.117838,0.384793,0.186512,-0.111127,0.390741,0.176555,-0.013147,0.398592,0.083573,-0.022706,0.171309,0.067547,-0.476194,0.914233,0.065188,-0.523534,0.874232,0.105262,0.040428,0.975478,0.073069,0.460617,0.233627,0.072056,0.505607,0.867352,0.106810,-0.090546
11,0.110000,0.000987,0.008668,-0.000141,-0.999962,0.672702,0.081658,-0.013935,0.000195,0.171257,0.067639,-0.476338,0.953968,0.914407,0.064929,-0.523622,0.917699,0.874111,0.105866,0.040401,0.848163,0.975557,0.072928,0.460788,0.936446,0.233616,0.071920,0.505822,0.936624,0.867263,0.106664,-0.090660,0.948491,-0.046113,-0.048801,-0.017932,-0.997582,0.365269,0.126779,-0.061641,0.000381,0.289210,0.109255,-0.042257,0.930091,0.336080,0.115096,-0.063450,0.815992,0.392312,0.091047,-0.118197,0.768805,0.385481,0.185883,-0.110753,0.786730,0.390635,0.176547,-0.013541,0.855129,0.397896,0.082847,-0.021647,0.000000,0.289456,0.109200,-0.042378,0.335897,0.115750,-0.063735,0.392603,0.090227,-0.117884,0.384888,0.186416,-0.111056,0.390874,0.176206,-0.013138,0.398594,0.083332,-0.022747,0.171310,0.067546,-0.476188,0.914238,0.065191,-0.523517,0.874224,0.105270,0.040431,0.975460,0.073078,0.460607,0.233626,0.072048,0.505603,0.867351,0.106812,-0.090546
12,0.120000,0.000986,0.008671,-0.000147,-0.999962,0.672699,0.081656,-0.013939,0.000192,0.171257,0.067632,-0.476345,0.953968,0.914407,0.064931,-0.523624,0.917699,0.874107,0.105866,0.040399,0.848163,0.975551,0.072929,0.460786,0.936446,0.233610,0.071912,0.505815,0.936624,0.867261,0.106665,-0.090662,0.948491,-0.044832,-0.047911,-0.016986,-0.997700,0.365314,0.126538,-0.061528,0.000354,0.289189,0.109206,-0.042232,0.930091,0.336107,0.114904,-0.063358,0.815992,0.392390,0.090608,-0.117943,0.768805,0.385721,0.185475,-0.110760,0.786730,0.390689,0.176385,-0.013515,0.855129,0.397791,0.082652,-0.021362,0.000000,0.289460,0.109116,-0.042382,0.335972,0.115762,-0.063717,0.392594,0.090239,-0.117873,0.385150,0.185218,-0.110646,0.390912,0.176294,-0.013210,0.398537,0.083092,-0.022576,0.171308,0.067528,-0.476193,0.914243,0.065209,-0.523516,0.874218,0.105280,0.040427,0.975462,0.073068,0.460608,0.233613,0.072052,0.505597,0.867349,0.106798,-0.090554
13,0.130000,0.000976,0.008671,-0.000135,-0.999962,0.672697,0.081650,-0.013937,0.000192,0.171255,0.067647,-0.476344,0.951803,0.914405,0.064929,-0.523623,0.917449,0.874106,0.105854,0.040401,0.854130,0.975549,0.072906,0.460788,0.940512,0.233608,0.071906,0.505817,0.934308,0.867260,0.106656,-0.090660,0.948557,-0.044312,-0.047466,-0.016862,-0.997747,0.365337,0.126520,-0.061493,0.000390,0.289190,0.109226,-0.042247,0.919616,0.336128,0.114891,-0.063337,0.754364,0.392454,0.090524,-0.117847,0.853087,0.385802,0.185401,-0.110768,0.838324,0.390680,0.176410,-0.013509,0.900206,0.397766,0.082667,-0.021252,0.000000,0.289475,0.109170,-0.042385,0.335967,0.115776,-0.063732,0.392710,0.089998,-0.117794,0.385183,0.185272,-0.110629,0.390905,0.176303,-0.013198,0.398507,0.083128,-0.022447,0.171307,0.067541,-0.476191,0.914236,0.065196,-0.523530,0.874220,0.105283,0.040435,0.975448,0.073034,0.460614,0.233621,0.072046,0.505594,0.867351,0.106798,-0.090543
14,0.140000,0.000980,0.008670,-0.000141,-0.999962,0.672697,0.081655,-0.013939,0.000191,0.171254,0.067642,-0.476345,0.951803,0.914404,0.064933,-0.523626,0.917449,0.874106,0.105862,0.040398,0.854130,0.975550,0.072918,0.460785,0.940512,0.233609,0.071910,0.505815,0.934308,0.867259,0.106662,-0.090663,0.948557,-0.044524,-0.047532,-0.016897,-0.997734,0.365354,0.126605,-0.061460,0.000354,0.289211,0.109299,-0.042211,0.919616,0.336146,0.114976,-0.063305,0.754364,0.392466,0.090635,-0.117832,0.853087,0.385809,0.185508,-0.110712,0.838324,0.390701,0.176477,-0.013458,0.900206,0.397792,0.082737,-0.021242,0.000000,0.289502,0.109253,-0.042316,0.336016,0.115773,-0.063701,0.392689,0.090165,-0.117758,0.385233,0.185378,-0.110594,0.390887,0.176360,-0.013165,0.398519,0.083187,-0.022431,0.171301,0.067540,-0.476195,0.914239,0.065202,-0.523527,0.874223,0.105277,0.040428,0.975449,0.073056,0.460608,0.233618,0.072047,0.505598,0.867351,0.106806,-0.090549
15,0.150000,0.000984,0.008667,-0.000144,-0.999962,0.672701,0.081653,-0.013939,0.000193,0.171255,0.067635,-0.476341,0.954230,0.914405,0.064929,-0.523627,0.915082,0.874110,0.105862,0.040397,0.849026,0.975557,0.072922,0.460784,0.939241,0.233617,0.071910,0.505819,0.935457,0.867262,0.106662,-0.090664,0.950109,-0.047783,-0.047619,-0.019888,-0.997524,0.365568,0.127047,-0.061589,0.000515,0.289526,0.109179,-0.042456,0.949634,0.336426,0.115265,-0.063512,0.821677,0.392880,0.091616,-0.118205,0.802031,0.385686,0.186399,-0.110439,0.738961,0.390635,0.176734,-0.013249,0.919470,0.398256,0.083092,-0.021671,0.000000,0.289520,0.109277,-0.042281,0.335991,0.115810,-0.063661,0.393555,0.092021,-0.118297,0.385213,0.185472,-0.110529,0.390826,0.176520,-0.013103,0.398996,0.083508,-0.022902,0.171306,0.067533,-0.476197,0.914236,0.065201,-0.523513,0.874226,0.105270,0.040426,0.975470,0.073062,0.460605,0.233623,0.072047,0.505600,0.867344,0.106806,-0.090553
