Format Version,1.23,Take Name,linear_t2_may_15,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 10.30.14.140 AM,Total Frames in Take,2945,Total Exported Frames,2945,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,noark:Marker6,noark:Marker6,noark:Marker6,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"C4FF0","C4FF0","C4FF0","C5020","C5020","C5020","C5210","C5210","C5210","C5230","C5230","C5230","C5240","C5240","C5240","C53F0","C53F0","C53F0","C4520","C4520","C4520","C3890","C3890","C3890","C4B40","C4B40","C4B40","C3550","C3550","C3550","C51F0","C51F0","C51F0","C3660","C3660","C3660"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.110000,0.286774,0.091709,-0.189875,0.332763,0.095493,-0.214037,0.384788,0.069958,-0.270950,0.381165,0.165802,-0.263150,0.391853,0.155439,-0.166007,0.395163,0.060965,-0.176700,0.171332,0.067596,-0.476249,0.914260,0.065249,-0.523495,0.874248,0.105259,0.040371,0.975439,0.073056,0.460575,0.233605,0.072028,0.505561,0.867371,0.106824,-0.090579
12,0.120000,0.286742,0.091776,-0.189871,0.332769,0.095573,-0.214005,0.384814,0.070063,-0.270862,0.381101,0.165097,-0.262860,0.392136,0.154979,-0.165866,0.395142,0.061245,-0.176494,0.171294,0.067616,-0.476238,0.914262,0.065255,-0.523489,0.874274,0.105247,0.040374,0.975448,0.073069,0.460570,0.233614,0.072037,0.505567,0.867373,0.106827,-0.090582
13,0.130000,0.286708,0.091890,-0.189952,0.332750,0.095596,-0.214023,0.384727,0.070175,-0.270947,0.381055,0.165157,-0.262881,0.392088,0.155024,-0.165839,0.395267,0.060907,-0.176407,0.171328,0.067596,-0.476243,0.914259,0.065253,-0.523487,0.874261,0.105247,0.040381,0.975460,0.073050,0.460573,0.233614,0.072045,0.505566,0.867367,0.106838,-0.090587
14,0.140000,0.286701,0.091833,-0.189929,0.332677,0.095622,-0.214068,0.384658,0.070036,-0.271060,0.381005,0.165102,-0.262913,0.392126,0.154953,-0.165896,0.395109,0.061239,-0.176545,0.171330,0.067592,-0.476244,0.914253,0.065225,-0.523515,0.874282,0.105233,0.040384,0.975438,0.073044,0.460587,0.233619,0.072035,0.505562,0.867369,0.106822,-0.090581
15,0.150000,0.286748,0.091622,-0.189935,0.332621,0.095559,-0.214110,0.384483,0.070090,-0.271278,0.381047,0.165781,-0.263252,0.391776,0.155364,-0.166130,0.395099,0.060948,-0.176783,0.171337,0.067584,-0.476241,0.914269,0.065226,-0.523512,0.874273,0.105240,0.040378,0.975415,0.073052,0.460589,0.233614,0.072036,0.505559,0.867373,0.106808,-0.090594
16,0.160000,0.286629,0.091527,-0.190022,0.332445,0.095569,-0.214197,0.384445,0.070043,-0.271411,0.380989,0.165688,-0.263346,0.391882,0.155136,-0.166321,0.395115,0.060997,-0.176832,0.171331,0.067589,-0.476249,0.914254,0.065252,-0.523489,0.874262,0.105236,0.040381,0.975457,0.073047,0.460574,0.233618,0.072032,0.505567,0.867370,0.106821,-0.090578
17,0.170000,0.286529,0.091825,-0.190153,0.332396,0.095552,-0.214261,0.384282,0.070161,-0.271547,0.380975,0.165662,-0.263366,0.391926,0.154998,-0.166396,0.395048,0.060849,-0.176904,0.171332,0.067583,-0.476247,0.914248,0.065232,-0.523513,0.874263,0.105236,0.040377,0.975446,0.073041,0.460585,0.233614,0.072047,0.505566,0.867371,0.106809,-0.090577
18,0.180000,0.286456,0.091935,-0.190134,0.332353,0.095589,-0.214261,0.384266,0.070203,-0.271639,0.380927,0.165684,-0.263377,0.391868,0.155058,-0.166427,0.395032,0.060354,-0.176879,0.171342,0.067596,-0.476239,0.914257,0.065242,-0.523493,0.874259,0.105260,0.040377,0.975451,0.073046,0.460578,0.233611,0.072038,0.505560,0.867366,0.106795,-0.090584
19,0.190000,0.286407,0.091977,-0.190155,0.332263,0.095643,-0.214299,0.384232,0.070248,-0.271533,0.380772,0.165961,-0.263444,0.392086,0.154649,-0.166298,0.395176,0.060912,-0.176604,0.171334,0.067586,-0.476246,0.914247,0.065236,-0.523493,0.874267,0.105246,0.040375,0.975445,0.073041,0.460583,0.233617,0.072043,0.505562,0.867369,0.106810,-0.090570
20,0.200000,0.286353,0.092026,-0.190114,0.332131,0.096015,-0.214160,0.384231,0.070303,-0.271401,0.380740,0.166066,-0.263386,0.391908,0.154883,-0.166204,0.395174,0.061007,-0.176589,0.171334,0.067578,-0.476241,0.914255,0.065232,-0.523501,0.874272,0.105234,0.040378,0.975441,0.073031,0.460576,0.233614,0.072037,0.505565,0.867373,0.106804,-0.090575
