Format Version,1.23,Take Name,table_frame_may_15,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 10.23.09.738 AM,Total Frames in Take,667,Total Exported Frames,667,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.000909,0.008570,-0.000330,-0.999963,0.672523,0.081708,-0.013952,0.000314,0.170993,0.067570,-0.476259,0.929144,0.914134,0.065149,-0.523689,0.811005,0.873933,0.105984,0.040348,0.822314,0.975474,0.073020,0.460710,0.936659,0.233543,0.071724,0.505889,0.892418,0.867060,0.106800,-0.090712,0.963781,-0.000218,0.000049,-0.002926,-0.999996,0.212278,0.182543,0.125038,0.000193,0.281284,0.184118,0.177066,0.939657,0.182889,0.183253,0.182659,0.963756,0.172662,0.180258,0.015388,0.967599,0.171045,0.067322,-0.476144,0.913832,0.065681,-0.523262,0.874103,0.105293,0.040301,0.975388,0.073098,0.460490,0.233578,0.072023,0.505590,0.867191,0.106832,-0.090686,0.281419,0.184123,0.177268,0.182880,0.183250,0.182502,0.172536,0.180256,0.015343
7,0.070000,0.000901,0.008577,-0.000326,-0.999963,0.672521,0.081708,-0.013953,0.000321,0.170997,0.067581,-0.476267,0.927783,0.914139,0.065155,-0.523686,0.809616,0.873931,0.105982,0.040351,0.821509,0.975465,0.073011,0.460714,0.935708,0.233533,0.071720,0.505882,0.891228,0.867059,0.106800,-0.090709,0.966191,-0.000382,0.000076,-0.002972,-0.999996,0.212236,0.182566,0.125035,0.000215,0.281238,0.184130,0.177068,0.932567,0.182843,0.183254,0.182656,0.960489,0.172625,0.180314,0.015383,0.962474,0.171049,0.067322,-0.476150,0.913833,0.065700,-0.523251,0.874115,0.105294,0.040299,0.975370,0.073079,0.460485,0.233569,0.072030,0.505578,0.867188,0.106825,-0.090676,0.281397,0.184135,0.177285,0.182821,0.183251,0.182499,0.172488,0.180311,0.015321
8,0.080000,0.000909,0.008571,-0.000321,-0.999963,0.672521,0.081706,-0.013954,0.000316,0.170991,0.067577,-0.476261,0.927783,0.914133,0.065143,-0.523690,0.809616,0.873932,0.105979,0.040347,0.821509,0.975471,0.073013,0.460709,0.935708,0.233540,0.071730,0.505887,0.891228,0.867059,0.106795,-0.090713,0.966191,-0.000721,0.000395,-0.004804,-0.999988,0.212222,0.182642,0.125107,0.000292,0.281185,0.184424,0.177185,0.932567,0.182790,0.183183,0.182709,0.960489,0.172690,0.180320,0.015428,0.962474,0.171044,0.067323,-0.476147,0.913827,0.065680,-0.523258,0.874110,0.105279,0.040290,0.975389,0.073087,0.460486,0.233569,0.072034,0.505585,0.867188,0.106834,-0.090679,0.281408,0.184432,0.177496,0.182765,0.183180,0.182517,0.172492,0.180315,0.015309
9,0.090000,0.000905,0.008573,-0.000325,-0.999963,0.672521,0.081713,-0.013952,0.000318,0.170994,0.067584,-0.476262,0.929701,0.914136,0.065157,-0.523688,0.810781,0.873932,0.105987,0.040350,0.822123,0.975470,0.073019,0.460712,0.937126,0.233538,0.071729,0.505886,0.893341,0.867059,0.106805,-0.090710,0.965088,-0.000482,0.000479,-0.004554,-0.999989,0.212230,0.182643,0.125122,0.000305,0.281185,0.184415,0.177211,0.903300,0.182789,0.183227,0.182719,0.947201,0.172715,0.180288,0.015437,0.944684,0.171045,0.067332,-0.476147,0.913832,0.065693,-0.523249,0.874105,0.105300,0.040292,0.975383,0.073093,0.460488,0.233570,0.072031,0.505587,0.867193,0.106832,-0.090683,0.281416,0.184423,0.177521,0.182755,0.183223,0.182511,0.172519,0.180284,0.015335
10,0.100000,0.000903,0.008572,-0.000333,-0.999963,0.672525,0.081712,-0.013955,0.000317,0.170996,0.067575,-0.476265,0.929701,0.914138,0.065160,-0.523692,0.810781,0.873935,0.105989,0.040346,0.822123,0.975474,0.073021,0.460708,0.937126,0.233543,0.071719,0.505884,0.893341,0.867062,0.106806,-0.090714,0.965088,-0.000343,0.000155,-0.003136,-0.999995,0.212220,0.182552,0.125043,0.000210,0.281214,0.184143,0.177086,0.903300,0.182819,0.183235,0.182659,0.947201,0.172628,0.180278,0.015384,0.944684,0.171053,0.067326,-0.476146,0.913836,0.065699,-0.523252,0.874105,0.105297,0.040290,0.975395,0.073100,0.460482,0.233570,0.072020,0.505584,0.867191,0.106828,-0.090691,0.281376,0.184148,0.177273,0.182774,0.183232,0.182517,0.172510,0.180276,0.015339
11,0.110000,0.000908,0.008570,-0.000341,-0.999963,0.672527,0.081708,-0.013951,0.000317,0.170997,0.067559,-0.476257,0.929726,0.914138,0.065155,-0.523688,0.810574,0.873937,0.105989,0.040350,0.821041,0.975479,0.073027,0.460711,0.937675,0.233548,0.071714,0.505891,0.892776,0.867063,0.106805,-0.090710,0.966373,-0.000480,0.000177,-0.003062,-0.999995,0.212197,0.182555,0.125049,0.000232,0.281188,0.184121,0.177096,0.928750,0.182793,0.183226,0.182664,0.966725,0.172609,0.180317,0.015388,0.959910,0.171048,0.067308,-0.476140,0.913839,0.065693,-0.523247,0.874103,0.105294,0.040295,0.975405,0.073105,0.460486,0.233574,0.072016,0.505587,0.867193,0.106831,-0.090687,0.281385,0.184126,0.177302,0.182729,0.183224,0.182547,0.172476,0.180314,0.015299
12,0.120000,0.000915,0.008570,-0.000326,-0.999963,0.672525,0.081712,-0.013953,0.000314,0.170995,0.067572,-0.476260,0.929726,0.914137,0.065145,-0.523690,0.810574,0.873936,0.105987,0.040347,0.821041,0.975477,0.073028,0.460709,0.937675,0.233545,0.071738,0.505888,0.892776,0.867063,0.106802,-0.090713,0.966373,-0.000641,0.000190,-0.003171,-0.999995,0.212219,0.182571,0.125032,0.000228,0.281209,0.184136,0.177080,0.928750,0.182813,0.183218,0.182646,0.966725,0.172634,0.180360,0.015369,0.959910,0.171049,0.067328,-0.476143,0.913838,0.065670,-0.523262,0.874104,0.105300,0.040291,0.975400,0.073107,0.460485,0.233571,0.072032,0.505588,0.867191,0.106834,-0.090679,0.281390,0.184141,0.177281,0.182759,0.183215,0.182504,0.172507,0.180358,0.015310
13,0.130000,0.000966,0.008594,-0.000422,-0.999963,0.672562,0.081667,-0.013960,0.000321,0.171056,0.067384,-0.476290,0.915688,0.914200,0.065093,-0.523684,0.796051,0.873965,0.105986,0.040347,0.815260,0.975492,0.073090,0.460717,0.938364,0.233559,0.071664,0.505861,0.888190,0.867098,0.106786,-0.090714,0.974073,-0.000509,0.000079,-0.003200,-0.999995,0.212213,0.182565,0.125040,0.000210,0.281214,0.184147,0.177073,0.934131,0.182820,0.183225,0.182661,0.965642,0.172604,0.180322,0.015387,0.962548,0.171151,0.067072,-0.476203,0.913839,0.065683,-0.523252,0.874234,0.105301,0.040285,0.975392,0.073098,0.460492,0.233571,0.072020,0.505591,0.867180,0.106833,-0.090672,0.281379,0.184152,0.177279,0.182786,0.183223,0.182527,0.172473,0.180320,0.015314
14,0.140000,0.000907,0.008565,-0.000334,-0.999963,0.672549,0.081718,-0.013951,0.000322,0.171015,0.067577,-0.476253,0.915688,0.914156,0.065163,-0.523691,0.796051,0.873960,0.105996,0.040348,0.815260,0.975505,0.073031,0.460708,0.938364,0.233574,0.071728,0.505895,0.888190,0.867085,0.106812,-0.090712,0.974073,-0.000568,0.000426,-0.004459,-0.999990,0.212221,0.182657,0.125113,0.000290,0.281182,0.184406,0.177194,0.934131,0.182786,0.183236,0.182713,0.965642,0.172694,0.180328,0.015432,0.962548,0.171045,0.067330,-0.476141,0.913838,0.065699,-0.523246,0.874240,0.105309,0.040286,0.975407,0.073115,0.460486,0.233580,0.072023,0.505589,0.867186,0.106833,-0.090681,0.281404,0.184414,0.177515,0.182768,0.183233,0.182525,0.172491,0.180323,0.015299
15,0.150000,0.000896,0.008570,-0.000329,-0.999963,0.672524,0.081705,-0.013954,0.000316,0.170994,0.067580,-0.476262,0.927886,0.914136,0.065159,-0.523691,0.809514,0.873935,0.105980,0.040347,0.819323,0.975475,0.073005,0.460708,0.939325,0.233544,0.071709,0.505887,0.891637,0.867061,0.106799,-0.090713,0.966633,-0.000562,0.000329,-0.004570,-0.999989,0.212232,0.182663,0.125107,0.000297,0.281203,0.184429,0.177175,0.900374,0.182809,0.183236,0.182713,0.948899,0.172685,0.180324,0.015434,0.938673,0.171047,0.067321,-0.476144,0.913830,0.065699,-0.523249,0.874115,0.105282,0.040288,0.975395,0.073071,0.460489,0.233571,0.072017,0.505583,0.867186,0.106840,-0.090690,0.281425,0.184437,0.177506,0.182797,0.183233,0.182509,0.172475,0.180319,0.015307
