timestamp,noark_x,noark_z,given_force_mag,given_Fx,given_Fz,T1_N,T3_N,tau1_cmd,tau2_cmd,lc_fx,lc_fy,lc_magnitude,lc_direction
2026-06-08T22:08:32.755086,-0.0756,-0.3217,3.300,-0.098,-3.299,2.976,2.556,-0.0982,0.0844,0.0780,-0.1030,0.1292,-53.11
2026-06-08T22:08:42.548931,-0.0869,-0.2365,14.000,3.308,-13.604,8.838,11.685,-0.2917,0.3856,0.0870,-0.0830,0.1202,93.07
2026-06-08T22:08:48.697691,-0.0558,-0.3471,14.000,-0.552,-13.989,13.169,11.613,-0.4346,0.3832,-0.0420,0.0410,0.0587,119.09
2026-06-08T22:09:00.619510,-0.1478,-0.2784,14.000,9.560,-10.228,3.634,14.078,-0.1199,0.4646,0.1140,-0.2050,0.2346,-60.80
2026-06-08T22:09:04.868298,0.1528,-0.3886,14.000,-8.616,-11.035,15.461,7.203,-0.5102,0.2377,0.1020,-0.1170,0.1552,-48.83
2026-06-08T22:09:09.230118,-0.0941,-0.4430,14.000,-13.980,0.739,5.722,0.000,-0.1888,0.0000,-0.0030,-0.0300,0.0301,-65.33
2026-06-08T22:09:22.769705,-0.4410,-0.1812,14.000,13.386,-4.099,0.000,14.824,-0.0000,0.4892,0.0310,-0.0020,0.0311,-3.71
2026-06-08T22:09:27.262607,0.1214,-0.2595,14.000,-11.536,-7.932,14.005,0.037,-0.4621,0.0012,-0.0210,0.0240,0.0319,131.36
2026-06-08T22:09:30.881065,-0.3815,-0.2851,14.000,13.151,-4.803,0.000,14.113,-0.0000,0.4657,0.0510,-0.0410,0.0654,-38.80
2026-06-08T22:09:34.121129,0.1004,-0.2705,14.000,-2.080,-13.845,11.241,10.352,-0.3710,0.3416,0.0180,-0.0060,0.0190,-17.49
2026-06-08T22:09:38.216354,-0.1079,-0.3294,14.000,-7.307,-11.942,14.675,4.109,-0.4843,0.1356,0.1070,-0.2330,0.2564,-65.22
2026-06-08T22:09:40.473635,-0.3068,-0.3166,14.000,11.531,-7.940,2.471,13.913,-0.0815,0.4591,0.0810,-0.1110,0.1374,-53.87
2026-06-08T22:09:43.433416,0.1029,-0.2753,14.000,-6.858,-12.205,13.614,6.343,-0.4493,0.2093,0.0590,0.0390,0.0707,83.38
2026-06-08T22:09:46.259727,-0.2289,-0.3458,14.000,3.067,-13.660,11.428,11.212,-0.3771,0.3700,0.0190,0.0890,0.0910,-43.24
2026-06-08T22:10:21.954698,0.0391,-0.0793,2.000,0.438,-1.951,0.845,1.655,-0.0279,0.0546,0.0090,0.0130,0.0158,55.77
2026-06-08T22:10:31.333131,0.0883,-0.0890,2.000,-0.159,-1.994,1.285,1.311,-0.0424,0.0433,0.0180,-0.0350,0.0394,-63.33
2026-06-08T22:10:39.628054,-0.0471,-0.1888,3.000,-0.239,-2.990,2.375,1.836,-0.0784,0.0606,0.0230,0.0360,0.0427,78.73
2026-06-08T22:11:24.226539,-0.0068,-0.1403,5.000,-0.398,-4.984,3.696,3.056,-0.1220,0.1008,0.0430,-0.0180,0.0466,-78.96
2026-06-08T22:11:46.664174,-0.0968,-0.1646,2.900,-0.231,-2.891,2.334,1.585,-0.0770,0.0523,0.0340,-0.0150,0.0372,104.28
