timestamp,noark_x,noark_z,given_force_mag,given_Fx,given_Fz,T1_N,T3_N,tau1_cmd,tau2_cmd,lc_fx,lc_fy,lc_magnitude,lc_direction
2026-06-09T16:25:22.772703,0.0354,-0.3867,3.500,-0.257,-3.491,3.499,3.327,-0.1155,0.1098,-0.0330,0.1860,0.1889,100.01
2026-06-09T16:35:44.182061,-0.0481,-0.2323,3.700,-0.951,-3.576,3.374,1.875,-0.1113,0.0619,0.0280,-0.2900,0.2913,-84.51
2026-06-09T16:35:44.464340,-0.0568,-0.2328,3.700,-0.951,-3.576,3.377,1.861,-0.1114,0.0614,-0.0450,0.1720,0.1778,104.68
2026-06-09T16:36:26.101409,-0.1234,-0.1972,10.200,3.919,-9.417,4.998,8.844,-0.1649,0.2919,-0.0080,0.0230,0.0244,46.79
2026-06-09T16:36:31.353563,0.0161,-0.4065,10.200,-7.494,-6.919,11.466,3.005,-0.3784,0.0992,-0.0420,0.1090,0.1168,63.53
2026-06-09T16:36:39.113707,-0.2697,-0.3256,10.200,9.706,-3.135,0.000,9.960,-0.0000,0.3287,0.0910,-0.1740,0.1964,139.22
2026-06-09T16:36:43.828641,0.0570,-0.3679,10.200,-1.628,-10.069,10.074,8.769,-0.3324,0.2894,-0.0230,0.0790,0.0823,106.31
2026-06-09T16:36:53.877531,-0.1300,-0.2398,10.200,-6.550,-7.819,10.192,0.000,-0.3363,0.0000,0.0270,0.0430,0.0508,58.19
2026-06-09T16:36:59.511143,-0.3661,-0.2423,10.200,9.941,-2.286,0.000,10.369,-0.0000,0.3422,-0.0260,0.0220,0.0341,87.30
2026-06-09T16:37:08.486938,0.1254,-0.4497,10.200,-1.117,-10.139,11.607,11.505,-0.3830,0.3797,0.0240,0.0410,0.0475,59.77
