timestamp,noark_x,noark_z,given_force_mag,given_Fx,given_Fz,T1_N,T3_N,tau1_cmd,tau2_cmd,lc_fx,lc_fy,lc_magnitude,lc_direction
2026-06-09T16:24:27.481711,0.0351,-0.3890,3.000,-0.019,-3.000,2.907,2.991,-0.0959,0.0987,-0.0610,0.1320,0.1454,-54.61
2026-06-09T16:24:29.334004,0.0346,-0.3877,3.000,-0.019,-3.000,2.892,2.976,-0.0954,0.0982,0.0140,-0.1080,0.1089,-82.53
2026-06-09T16:24:30.480051,0.0349,-0.3874,3.000,-0.019,-3.000,2.889,2.974,-0.0953,0.0982,-0.0060,-0.0110,0.0125,-117.73
2026-06-09T16:24:30.583804,0.0347,-0.3874,3.000,-0.019,-3.000,2.889,2.974,-0.0953,0.0982,-0.0020,0.0150,0.0151,31.15
2026-06-09T16:24:36.056552,0.0350,-0.3872,3.000,-0.019,-3.000,2.887,2.973,-0.0953,0.0981,0.0850,-0.1860,0.2045,-65.57
2026-06-09T16:24:37.049021,0.0349,-0.3873,3.000,-0.019,-3.000,2.888,2.973,-0.0953,0.0981,0.0830,-0.1150,0.1418,95.41
2026-06-09T16:24:37.291905,0.0350,-0.3872,3.000,-0.019,-3.000,2.887,2.973,-0.0953,0.0981,0.0440,0.0090,0.0449,11.93
2026-06-09T16:24:37.474898,0.0349,-0.3872,3.000,-0.019,-3.000,2.887,2.973,-0.0953,0.0981,0.0650,-0.1570,0.1699,89.04
2026-06-09T16:24:37.672010,0.0348,-0.3872,3.000,-0.019,-3.000,2.887,2.973,-0.0953,0.0981,0.0220,-0.1960,0.1972,-83.58
2026-06-09T16:24:37.931685,0.0349,-0.3872,3.000,-0.019,-3.000,2.887,2.973,-0.0953,0.0981,-0.0170,0.1070,0.1083,98.82
