timestamp,noark_x,noark_z,given_force_mag,given_Fx,given_Fz,T1_N,T3_N,tau1_cmd,tau2_cmd,lc_fx,lc_fy,lc_magnitude,lc_direction
2026-06-09T00:26:01.720117,-0.1607,-0.1515,3.000,0.359,-2.978,2.106,1.907,-0.0695,0.0629,0.0000,0.0000,0.0000,0.00
2026-06-09T00:28:33.236923,-0.1728,-0.1775,11.000,0.492,-10.989,8.503,6.354,-0.2806,0.2097,0.0000,0.0000,0.0000,0.00
2026-06-09T00:28:43.221687,-0.1206,-0.3674,0.000,0.000,-0.000,0.000,0.000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.00
2026-06-09T00:28:56.570964,-0.1320,-0.2388,7.200,-5.279,-4.896,7.063,0.000,-0.2331,0.0000,0.0000,0.0000,0.0000,0.00
2026-06-09T00:29:04.388692,-0.2757,-0.3471,7.200,6.870,-2.156,0.000,7.029,-0.0000,0.2320,0.0000,0.0000,0.0000,0.00
2026-06-09T00:29:10.688738,0.1436,-0.3603,7.200,-5.812,-4.250,7.557,1.275,-0.2494,0.0421,0.0000,0.0000,0.0000,0.00
2026-06-09T00:29:18.085754,-0.2779,-0.2877,7.200,5.761,-4.319,1.238,7.134,-0.0408,0.2354,0.0000,0.0000,0.0000,0.00
2026-06-09T00:29:26.163704,0.0785,-0.2777,7.200,0.209,-7.197,5.066,6.059,-0.1672,0.1999,0.0000,0.0000,0.0000,0.00
2026-06-09T00:29:40.286903,-0.0744,-0.3389,7.200,-3.262,-6.418,7.637,3.106,-0.2520,0.1025,0.0000,0.0000,0.0000,0.00
2026-06-09T00:29:48.133451,-0.1040,-0.3257,12.200,-5.528,-10.876,12.736,4.535,-0.4203,0.1497,0.0000,0.0000,0.0000,0.00
2026-06-09T00:29:53.616301,-0.1957,-0.3767,12.200,11.697,-3.465,0.000,11.516,-0.0000,0.3800,0.0000,0.0000,0.0000,0.00
2026-06-09T00:30:00.170695,0.1925,-0.3459,12.200,-11.998,-2.210,10.815,0.000,-0.3569,0.0000,0.0000,0.0000,0.0000,0.00
2026-06-09T00:30:08.559123,-0.2611,-0.2905,12.200,7.936,-9.266,4.601,11.594,-0.1518,0.3826,0.0000,0.0000,0.0000,0.00
2026-06-09T00:30:17.554578,0.1098,-0.2929,12.200,-0.119,-12.199,8.875,10.435,-0.2929,0.3443,0.0000,0.0000,0.0000,0.00
2026-06-09T00:31:30.861421,-0.1060,-0.1541,12.200,-5.214,-11.029,11.772,2.367,-0.3885,0.0781,0.0000,0.0000,0.0000,0.00
2026-06-09T00:31:37.507442,-0.3055,-0.1653,12.200,9.775,-7.300,0.865,11.982,-0.0286,0.3954,0.0000,0.0000,0.0000,0.00
2026-06-09T00:32:27.803146,0.0977,-0.2546,10.000,8.012,-5.983,0.000,9.613,-0.0000,0.3172,0.0000,0.0000,0.0000,0.00
2026-06-09T00:32:32.927512,0.1025,-0.2431,10.000,0.598,-9.982,6.248,8.446,-0.2062,0.2787,0.0000,0.0000,0.0000,0.00
2026-06-09T00:32:42.471716,-0.1257,-0.2615,10.000,-7.590,-6.511,9.723,0.000,-0.3209,0.0000,0.0000,0.0000,0.0000,0.00
2026-06-09T00:32:48.689831,-0.2910,-0.2153,10.000,8.299,-5.580,0.574,9.914,-0.0189,0.3272,0.0000,0.0000,0.0000,0.00
2026-06-09T00:32:56.324324,0.0720,-0.2783,10.000,-8.365,-5.479,9.919,0.000,-0.3273,0.0000,0.0000,0.0000,0.0000,0.00
2026-06-09T00:32:56.386432,0.0720,-0.2780,10.000,-8.365,-5.479,9.920,0.000,-0.3273,0.0000,0.0000,0.0000,0.0000,0.00
2026-06-09T00:33:04.476754,-0.3038,-0.2438,10.000,5.865,-8.100,4.309,8.654,-0.1422,0.2856,0.0000,0.0000,0.0000,0.00
2026-06-09T00:33:28.896145,-0.0511,-0.2261,10.000,5.865,-8.100,2.478,9.885,-0.0818,0.3262,0.0000,0.0000,0.0000,0.00
2026-06-09T00:33:37.845129,0.0836,-0.2573,10.000,-6.109,-7.917,9.994,2.805,-0.3298,0.0926,0.0000,0.0000,0.0000,0.00
2026-06-09T00:33:46.344343,-0.2516,-0.2192,10.000,6.904,-7.234,2.530,9.504,-0.0835,0.3136,0.0000,0.0000,0.0000,0.00
2026-06-09T00:33:53.577292,0.1045,-0.2782,10.000,-7.165,-6.976,10.161,1.824,-0.3353,0.0602,0.0000,0.0000,0.0000,0.00
2026-06-09T00:34:23.536969,-0.1391,-0.2090,10.000,2.682,-9.634,6.126,7.942,-0.2022,0.2621,0.0000,0.0000,0.0000,0.00
2026-06-09T00:34:33.033736,-0.0446,-0.2224,10.000,-4.969,-8.678,9.855,2.543,-0.3252,0.0839,0.0000,0.0000,0.0000,0.00
2026-06-09T00:34:59.782861,-0.0961,-0.2439,3.100,-1.540,-2.690,3.095,0.676,-0.1021,0.0223,0.0000,0.0000,0.0000,0.00
2026-06-09T00:35:09.904794,-0.0333,-0.2409,3.100,0.659,-3.029,1.917,2.664,-0.0633,0.0879,0.0000,0.0000,0.0000,0.00
