timestamp,noark_x,noark_z,given_force_mag,given_Fx,given_Fz,T1_N,T3_N,tau1_cmd,tau2_cmd,lc_fx,lc_fy,lc_magnitude,lc_direction
2026-06-09T19:17:04.802279,0.1889,-0.3959,7.100,-0.775,-7.058,6.251,6.826,-0.2063,0.2253,0.1130,0.0590,0.1275,27.55
2026-06-09T19:17:05.918017,0.1877,-0.3954,7.100,-0.775,-7.058,6.255,6.819,-0.2064,0.2250,0.1130,0.3490,0.3668,1.26
2026-06-09T19:17:06.118698,0.1877,-0.3953,7.100,-0.775,-7.058,6.254,6.820,-0.2064,0.2251,0.0450,0.3850,0.3876,83.40
2026-06-09T19:17:06.384295,0.1879,-0.3952,7.100,-0.775,-7.058,6.249,6.817,-0.2062,0.2250,0.1640,0.0560,0.1733,18.80
2026-06-09T19:17:06.577949,0.1878,-0.3950,7.100,-0.775,-7.058,6.251,6.817,-0.2063,0.2250,0.0310,0.2570,0.2589,83.22
2026-06-09T19:17:06.736183,0.1877,-0.3950,7.100,-0.775,-7.058,6.249,6.816,-0.2062,0.2249,0.0560,0.4090,0.4128,82.18
2026-06-09T19:17:06.932151,0.1871,-0.3946,7.100,-0.775,-7.058,6.250,6.812,-0.2062,0.2248,0.0560,0.4090,0.4128,82.18
2026-06-09T19:17:07.123142,0.1871,-0.3944,7.100,-0.775,-7.058,6.242,6.807,-0.2060,0.2246,0.0890,0.0140,0.0901,9.22
