timestamp,magnitude,direction,Fx,Fz,T1_left,T3_right,tau1,tau2,sweep_step,sweep_dir,sweep_cycle
2026-06-19 12:50:14.235944,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.246133,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.252866,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.258572,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.264288,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.272390,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.280297,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.286567,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.291728,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.296947,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.307128,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.313083,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.319743,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.325215,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.330435,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.335969,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.341243,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.346603,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.351752,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.357247,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.362919,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.368378,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.373615,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.380177,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.385316,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.390461,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.396337,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.401792,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.406949,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.412079,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.417195,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.422380,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.427613,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.432713,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.439823,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.444985,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.450136,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.455866,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.461602,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.466775,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.471924,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.479689,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.484947,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.490900,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.496017,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.501136,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.506295,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.511418,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.519244,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.524785,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.529918,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.538672,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.543841,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.548958,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.554075,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.559173,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
2026-06-19 12:50:14.564327,5.000000,-129.121678,-3.154847,-3.879039,4.978403,0.435786,-0.164287,0.014381,0,asc,0
