timestamp,step,target_angle_deg,target_mag_N,sweep_dir,T1,T3,tau1,tau2,feasible
2026-06-18 16:43:08.694853,59,-63.031,5.000,desc,1.5626,4.7294,-0.0516,0.1561,1
2026-06-18 16:43:12.696565,60,-49.821,5.000,asc,0.4358,4.9753,-0.0144,0.1642,1
2026-06-18 16:43:16.696883,61,-49.821,10.000,asc,0.8716,9.9507,-0.0288,0.3284,1
2026-06-18 16:43:20.696281,62,-49.821,15.000,asc,1.3074,14.9260,-0.0431,0.4926,1
2026-06-18 16:43:24.694726,63,-49.821,20.000,asc,1.7433,19.9014,-0.0575,0.6567,1
2026-06-18 16:43:28.694989,64,-49.821,24.000,asc,2.0919,23.8816,-0.0690,0.7881,1
2026-06-18 16:43:32.695260,65,-49.821,24.000,desc,2.0919,23.8816,-0.0690,0.7881,1
2026-06-18 16:43:36.695387,66,-49.821,20.000,desc,1.7433,19.9014,-0.0575,0.6567,1
2026-06-18 16:43:40.694662,67,-49.821,15.000,desc,1.3074,14.9260,-0.0431,0.4926,1
2026-06-18 16:43:44.696344,68,-49.821,10.000,desc,0.8716,9.9507,-0.0288,0.3284,1
2026-06-18 16:43:48.700457,69,-49.821,5.000,desc,0.4358,4.9753,-0.0144,0.1642,1
