timestamp,Fx,Fy
2026-06-11 20:26:13.742736,-0.000000,-0.000000
2026-06-11 20:26:13.845005,-0.000000,-0.000000
2026-06-11 20:26:13.950149,-0.000000,-0.000000
2026-06-11 20:26:14.048585,-0.000000,-0.000000
2026-06-11 20:26:14.153936,-0.000000,-0.000000
2026-06-11 20:26:14.252694,-0.000000,-0.000000
2026-06-11 20:26:14.357008,-0.000000,-0.000000
2026-06-11 20:26:14.456964,-0.000000,-0.000000
2026-06-11 20:26:14.558594,-0.000000,-0.000000
2026-06-11 20:26:14.668006,-0.000000,-0.000000
2026-06-11 20:26:14.762708,-0.000000,-0.000000
2026-06-11 20:26:14.865061,-0.000000,-0.000000
2026-06-11 20:26:14.977051,-0.000000,-0.000000
2026-06-11 20:26:15.069732,-0.000000,-0.000000
2026-06-11 20:26:15.171762,-0.000000,-0.000000
2026-06-11 20:26:15.272718,-0.000000,-0.000000
2026-06-11 20:26:15.375684,-0.000000,-0.000000
2026-06-11 20:26:15.476015,-0.000000,-0.000000
2026-06-11 20:26:15.579276,-0.000000,-0.000000
2026-06-11 20:26:15.680334,-0.000000,-0.000000
2026-06-11 20:26:15.783031,-0.000000,-0.000000
2026-06-11 20:26:15.886739,-0.000000,-0.000000
2026-06-11 20:26:15.994903,-0.000000,-0.000000
2026-06-11 20:26:16.092080,-0.000000,-0.000000
2026-06-11 20:26:16.191162,-0.000000,-0.000000
2026-06-11 20:26:16.293394,-0.000000,-0.000000
2026-06-11 20:26:16.395760,-0.000000,-0.000000
2026-06-11 20:26:16.496826,-0.000000,-0.000000
2026-06-11 20:26:16.602008,-0.000000,-0.000000
2026-06-11 20:26:16.700788,-0.000000,-0.000000
2026-06-11 20:26:16.802922,-0.000000,-0.000000
2026-06-11 20:26:16.904830,-0.000000,-0.000000
2026-06-11 20:26:17.007428,-0.000000,-0.000000
2026-06-11 20:26:17.110801,-0.000000,-0.000000
2026-06-11 20:26:17.210679,-0.000000,-0.000000
2026-06-11 20:26:17.312848,-0.000000,-0.000000
2026-06-11 20:26:17.414957,-0.000000,-0.000000
2026-06-11 20:26:17.518079,-0.000000,-0.000000
2026-06-11 20:26:17.618984,-0.000000,-0.000000
2026-06-11 20:26:17.724370,-0.000000,-0.000000
2026-06-11 20:26:17.824503,-0.000000,-0.000000
2026-06-11 20:26:17.924203,-0.000000,-0.000000
2026-06-11 20:26:18.026767,-0.000000,-0.000000
2026-06-11 20:26:18.129225,-0.000000,-0.000000
2026-06-11 20:26:18.233431,-0.000000,-0.000000
2026-06-11 20:26:18.333482,-0.000000,-0.000000
2026-06-11 20:26:18.435556,-0.000000,-0.000000
2026-06-11 20:26:18.536561,-0.000000,-0.000000
2026-06-11 20:26:18.638083,-0.000000,-0.000000
2026-06-11 20:26:18.745151,-0.000000,-0.000000
2026-06-11 20:26:18.842478,-0.000000,-0.000000
2026-06-11 20:26:18.945074,-0.000000,-0.000000
2026-06-11 20:26:19.046235,-0.000000,-0.000000
2026-06-11 20:26:19.152634,-0.000000,-0.000000
2026-06-11 20:26:19.256378,-0.000000,-0.000000
2026-06-11 20:26:19.353469,-0.000000,-0.000000
2026-06-11 20:26:19.454710,-0.000000,-0.000000
2026-06-11 20:26:19.556400,-0.000000,-0.000000
2026-06-11 20:26:19.664291,-0.000000,-0.000000
2026-06-11 20:26:19.760517,-0.000000,-0.000000
2026-06-11 20:26:19.863747,-0.000000,-0.000000
2026-06-11 20:26:19.968504,-0.000000,-0.000000
2026-06-11 20:26:20.067464,-0.000000,-0.000000
2026-06-11 20:26:20.168569,-0.000000,-0.000000
2026-06-11 20:26:20.274233,-0.000000,-0.000000
2026-06-11 20:26:20.377890,-0.000000,-0.000000
2026-06-11 20:26:20.478422,-0.000000,-0.000000
2026-06-11 20:26:20.577819,-0.000000,-0.000000
2026-06-11 20:26:20.678357,-0.000000,-0.000000
