timestamp,magnitude,direction,measured_Fx,measured_Fy,given_Fx,given_Fz,measured_magnitude,measured_direction,t_sec,step,t_in_step
2026-06-22 13:22:05.159135000,0.0,0.0,-0.47771847414880203,-0.38487053383774694,0.0,0.0,0.6134657841800242,-141.1435881045076,0.0,0,0.0
2026-06-22 13:22:05.169135000,5.0,-151.418746,-0.3605286536879626,-0.04810488072388258,-4.390697732789676,-2.3920228718128085,0.3637237821197754,-172.39998629300644,0.01,1,0.0
2026-06-22 13:22:05.179135000,5.0,-151.418746,0.64644306777351,0.2039354478998885,-4.390697732789676,-2.3920228718128085,0.6778482918637141,17.509087723705058,0.02,1,0.01
2026-06-22 13:22:05.189135000,5.0,-151.418746,0.2880769230769232,0.07823076923076933,-4.390697732789676,-2.3920228718128085,0.2985102458273508,15.192961754684175,0.03,1,0.019999999999999997
2026-06-22 13:22:05.199135000,5.0,-151.418746,-0.8317910645548056,-0.27022218716476315,-4.390697732789676,-2.3920228718128085,0.8745835611931687,-162.00268617608458,0.04,1,0.03
2026-06-22 13:22:05.209135000,5.0,-151.418746,-0.27837401400896034,-0.03421537199469926,-4.390697732789676,-2.3920228718128085,0.28046886343442207,-172.992834169799,0.05,1,0.04
2026-06-22 13:22:05.219135000,5.0,-151.418746,-0.4486967121449347,-0.09571393424289892,-4.390697732789676,-2.3920228718128085,0.4587917792396986,-167.95840573083478,0.06,1,0.049999999999999996
2026-06-22 13:22:05.229135000,5.0,-151.418746,0.16612966333030016,0.029524112829845302,-4.390697732789676,-2.3920228718128085,0.16873274215939332,10.07723819281291,0.07,1,0.060000000000000005
2026-06-22 13:22:05.239135000,5.0,-151.418746,0.04556551410373064,0.01587534121929026,-4.390697732789676,-2.3920228718128085,0.048251865605033056,19.208691150811926,0.08,1,0.07
2026-06-22 13:22:05.249135000,5.0,-151.418746,-0.35717607223476255,-0.2525282167042889,-4.390697732789676,-2.3920228718128085,0.43743027651146943,-144.73918299048577,0.09,1,0.08
2026-06-22 13:22:05.259135000,5.0,-151.418746,-1.545036811594201,-0.5451237681159411,-4.390697732789676,-2.3920228718128085,1.6383829441696764,-160.566011282394,0.1,1,0.09000000000000001
2026-06-22 13:22:05.269135000,5.0,-151.418746,-1.0407788369876074,-0.5298885518675795,-4.390697732789676,-2.3920228718128085,1.1679051609277173,-153.01812948006017,0.11,1,0.1
2026-06-22 13:22:05.279135000,5.0,-151.418746,-2.159341227125941,-1.2374854682454233,-4.390697732789676,-2.3920228718128085,2.488799875298205,-150.18363691702584,0.12,1,0.11
2026-06-22 13:22:05.289135000,5.0,-151.418746,-2.6719242241031833,-1.0668097541313983,-4.390697732789676,-2.3920228718128085,2.8770231335286987,-158.23483083952604,0.13,1,0.12000000000000001
2026-06-22 13:22:05.299135000,5.0,-151.418746,-4.243422062724293,-1.7004637228896864,-4.390697732789676,-2.3920228718128085,4.571455750117149,-158.16257534453908,0.14,1,0.13
2026-06-22 13:22:05.309135000,5.0,-151.418746,-3.829060452549811,-1.5740584262073627,-4.390697732789676,-2.3920228718128085,4.1399714827997744,-157.65331081911268,0.15,1,0.13999999999999999
