samples,static_pairs,rmse_mm,jitter_x_mm,jitter_y_mm,jitter_z_mm,jitter_3d_mm,median_reprojection_px,method,cameras,markers,marker_ids,native_heldout_poses,coverage_percent
226,44,12.175168558577308,0.6180875449166687,0.624779951908795,2.097149089904436,2.2738549880709797,0.5470140927663212,C1-M1,1,1,12,669,86.54592496765848
226,44,8.933153824407725,1.4329764902869702,0.6306103923979579,3.8047858702864037,4.114302687873916,1.4371533368414844,C1-M2,1,2,12+20,411,53.16946959896507
226,44,9.064218764004512,0.8913362082588125,0.5007312375022683,3.449122683584774,3.597451777964895,1.600769124925995,C1-M3,1,3,4+12+20,291,37.64553686934023
226,45,19.52103152429503,1.727726238001049,0.7580136939238921,4.144535493117279,4.55376735982003,1.8489020050660878,C2-M1,2,1,12,652,84.34670116429496
226,45,16.82746522267844,1.4287969502343283,0.5548904293923119,3.389265847858689,3.7197428810458635,2.270725394012511,C2-M2,2,2,12+20,352,45.53686934023286
226,45,15.118912524005273,1.141989867284182,0.5063992359679556,3.0073914825741497,3.256529528904692,2.2662569877897463,C2-M3,2,3,4+12+20,226,29.236739974126777
