dynamic_samples,dynamic_pairs,acceleration_samples,jerk_samples,dynamic_position_rmse_mm,velocity_error_rmse_mm_s,path_length_ratio,estimated_camera_lag_ms,acceleration_error_rmse_m_s2,jerk_error_rmse_m_s3,camera_jerk_rms_m_s3,mocap_jerk_rms_m_s3,jerk_ratio_camera_over_mocap,method,cameras,markers,marker_ids,scope
163,140,126,114,13.234800615606439,241.04631285071483,1.2332196997476597,-17.5,11.722448450188834,631.3702762470762,625.8970539173497,91.64233707247436,6.829780578624547,C1-M1,1,1,12,all-method common held-out frames
163,140,126,114,9.164980654659706,207.12319392045487,1.184838675745305,-17.5,9.89607222598376,530.0513592245685,528.4155333144006,91.64233707247436,5.766063483262204,C1-M2,1,2,12+20,all-method common held-out frames
163,140,126,114,9.617553706258944,171.4652621833508,1.08867551127353,-17.5,8.040739199604976,407.749546814165,397.42679060449683,91.64233707247436,4.336716012493179,C1-M3,1,3,4+12+20,all-method common held-out frames
160,130,113,92,19.72627792405663,715.071351144417,1.3663755800795458,-27.499999999999996,40.40388286190703,2657.700278986206,2660.480583069502,114.12498500627217,23.311990647125036,C2-M1,2,1,12,all-method common held-out frames
160,130,113,92,17.217198873238328,618.2214711598551,1.2543565612055958,-27.499999999999996,34.94412547632925,2316.9300416070323,2318.5746847487453,114.12498500627217,20.316100673496862,C2-M2,2,2,12+20,all-method common held-out frames
160,130,113,92,15.494061463545737,486.3619335988771,1.1588259645187253,-24.999999999999993,27.47030088297125,1814.4501890342815,1814.7730910808962,114.12498500627217,15.901628297967868,C2-M3,2,3,4+12+20,all-method common held-out frames
