Format Version,1.23,Take Name,ar_linear_t1_may_13,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-13 09.15.06.229 AM,Total Frames in Take,4000,Total Exported Frames,4000,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.001628,0.214127,-0.004722,0.976793,0.057286,0.084005,-0.188729,0.000445,0.085752,0.134596,-0.148294,0.857420,0.088467,0.040324,-0.149492,0.876767,0.015764,0.071048,-0.170398,0.939144,0.046422,0.134380,-0.237955,0.899166,0.050025,0.039676,-0.237505,0.839923,-0.000071,-0.000122,-0.000423,-1.000000,0.320827,0.079260,0.036812,0.001306,-0.122573,0.069469,0.553555,0.923713,0.621183,0.072009,0.513665,0.910586,0.515794,0.103948,-0.039088,0.631429,0.522039,0.103512,0.092070,0.000000,-0.176800,0.064481,-0.427995,0.354744,0.565319,0.062142,-0.471336,0.921842,0.085772,0.135075,-0.148215,0.088129,0.040294,-0.149800,0.015949,0.071087,-0.170236,0.046493,0.134519,-0.237635,0.050088,0.039049,-0.237759,-0.122584,0.069634,0.553946,0.620884,0.072057,0.513301,0.517088,0.103604,-0.038122,,,,-0.178323,0.063786,-0.429646,0.565346,0.062399,-0.471391
7,0.070000,-0.002194,0.213659,-0.003986,0.976898,0.057246,0.084090,-0.188831,0.000539,0.085589,0.134761,-0.148409,0.878550,0.088463,0.040493,-0.149530,0.885483,0.015728,0.071078,-0.170529,0.937682,0.046344,0.134408,-0.238107,0.911087,0.050107,0.039711,-0.237579,0.830188,-0.000161,-0.000097,-0.000295,-1.000000,0.320909,0.079255,0.036918,0.001262,-0.122520,0.069484,0.553638,0.893942,0.621239,0.071841,0.513785,0.881689,0.515886,0.103906,-0.038968,0.587299,0.522124,0.103445,0.092191,0.000000,-0.176699,0.064686,-0.427916,0.412038,0.565422,0.062165,-0.471220,0.933975,0.085568,0.135410,-0.148266,0.088115,0.040391,-0.149956,0.015957,0.071117,-0.170395,0.046471,0.134591,-0.237749,0.050119,0.038943,-0.237788,-0.122584,0.069633,0.553939,0.621010,0.071918,0.513563,0.517080,0.103602,-0.038124,,,,-0.178323,0.063793,-0.429634,0.565349,0.062414,-0.471392
8,0.080000,-0.002740,0.214104,-0.003478,0.976801,0.057283,0.084179,-0.188868,0.000552,0.085600,0.134919,-0.148516,0.833888,0.088589,0.040653,-0.149559,0.860087,0.015797,0.071132,-0.170517,0.932824,0.046274,0.134442,-0.238177,0.894653,0.050153,0.039750,-0.237572,0.800873,-0.000138,-0.000093,-0.000324,-1.000000,0.320910,0.079258,0.036926,0.001268,-0.122522,0.069485,0.553642,0.914524,0.621237,0.071884,0.513795,0.917976,0.515886,0.103917,-0.038960,0.626579,0.522123,0.103462,0.092199,0.000000,-0.176693,0.064639,-0.427911,0.368030,0.565428,0.062159,-0.471210,0.922270,0.085565,0.135538,-0.148363,0.088275,0.040585,-0.150011,0.015978,0.071219,-0.170363,0.046415,0.134621,-0.237808,0.050181,0.038907,-0.237803,-0.122584,0.069628,0.553948,0.621003,0.071965,0.513585,0.517085,0.103603,-0.038121,,,,-0.178330,0.063784,-0.429641,0.565357,0.062404,-0.471394
9,0.090000,-0.002819,0.214578,-0.003703,0.976696,0.057339,0.084216,-0.188931,0.000544,0.085717,0.134954,-0.148619,0.840403,0.088666,0.040687,-0.149642,0.861320,0.015866,0.071190,-0.170537,0.936679,0.046303,0.134471,-0.238242,0.891598,0.050144,0.039777,-0.237617,0.781441,-0.000159,-0.000099,-0.000301,-1.000000,0.320909,0.079254,0.036917,0.001265,-0.122516,0.069480,0.553639,0.914191,0.621242,0.071847,0.513782,0.918867,0.515886,0.103908,-0.038971,0.625948,0.522125,0.103447,0.092188,0.000000,-0.176700,0.064677,-0.427914,0.367576,0.565420,0.062166,-0.471223,0.921468,0.085689,0.135522,-0.148517,0.088345,0.040635,-0.150091,0.016032,0.071279,-0.170409,0.046428,0.134683,-0.237842,0.050204,0.038938,-0.237800,-0.122576,0.069628,0.553950,0.621005,0.071921,0.513553,0.517074,0.103612,-0.038124,,,,-0.178312,0.063794,-0.429642,0.565353,0.062412,-0.471396
10,0.100000,-0.002898,0.214567,-0.003895,0.976697,0.057384,0.084297,-0.188940,0.000533,0.085778,0.135035,-0.148639,0.855505,0.088695,0.040766,-0.149640,0.861214,0.015906,0.071289,-0.170543,0.943261,0.046366,0.134544,-0.238263,0.882753,0.050175,0.039849,-0.237615,0.784603,-0.000070,-0.000126,-0.000378,-1.000000,0.320853,0.079278,0.036814,0.001297,-0.122543,0.069528,0.553561,0.912501,0.621212,0.072002,0.513664,0.915435,0.515822,0.103949,-0.039088,0.627887,0.522068,0.103512,0.092070,0.000000,-0.176779,0.064543,-0.427989,0.369362,0.565340,0.062137,-0.471336,0.923053,0.085746,0.135637,-0.148561,0.088349,0.040665,-0.150041,0.016136,0.071351,-0.170432,0.046480,0.134755,-0.237860,0.050210,0.039075,-0.237806,-0.122512,0.069697,0.553922,0.620883,0.072054,0.513305,0.517078,0.103603,-0.038124,,,,-0.178326,0.063789,-0.429641,0.565353,0.062402,-0.471397
11,0.110000,-0.002893,0.214694,-0.004240,0.976668,0.057463,0.084362,-0.188884,0.000544,0.085902,0.135086,-0.148597,0.847831,0.088755,0.040815,-0.149586,0.864929,0.015982,0.071385,-0.170475,0.934437,0.046466,0.134609,-0.238211,0.882806,0.050211,0.039912,-0.237551,0.800497,-0.000157,-0.000093,-0.000292,-1.000000,0.320910,0.079252,0.036915,0.001264,-0.122522,0.069487,0.553632,0.899967,0.621237,0.071840,0.513784,0.877528,0.515888,0.103902,-0.038970,0.594804,0.522125,0.103441,0.092189,0.000000,-0.176694,0.064683,-0.427922,0.403670,0.565427,0.062157,-0.471222,0.932079,0.085822,0.135657,-0.148491,0.088397,0.040715,-0.150031,0.016266,0.071516,-0.170336,0.046571,0.134838,-0.237837,0.050263,0.039053,-0.237732,-0.122582,0.069632,0.553936,0.621003,0.071916,0.513565,0.517072,0.103608,-0.038129,,,,-0.178326,0.063799,-0.429641,0.565357,0.062401,-0.471403
12,0.120000,-0.002542,0.213960,-0.003684,0.976832,0.057562,0.084471,-0.188847,0.000541,0.085892,0.135185,-0.148471,0.853368,0.088836,0.040918,-0.149542,0.854827,0.016065,0.071439,-0.170512,0.914363,0.046592,0.134754,-0.238144,0.887281,0.050425,0.040060,-0.237566,0.780098,-0.000074,-0.000116,-0.000417,-1.000000,0.320834,0.079263,0.036804,0.001299,-0.122571,0.069474,0.553543,0.914434,0.621185,0.072006,0.513661,0.917657,0.515803,0.103949,-0.039094,0.629579,0.522046,0.103512,0.092065,0.000000,-0.176787,0.064492,-0.428008,0.367553,0.565332,0.062145,-0.471341,0.922194,0.085749,0.135745,-0.148312,0.088503,0.040835,-0.149977,0.016459,0.071581,-0.170414,0.046723,0.134965,-0.237795,0.050375,0.039203,-0.237742,-0.122561,0.069645,0.553921,0.620874,0.072056,0.513300,0.517076,0.103595,-0.038127,,,,-0.178328,0.063773,-0.429636,0.565360,0.062411,-0.471400
13,0.130000,-0.002437,0.214488,-0.004480,0.976713,0.057674,0.084589,-0.188821,0.000507,0.086130,0.135263,-0.148483,0.857525,0.088921,0.040991,-0.149544,0.865459,0.016176,0.071625,-0.170440,0.903846,0.046732,0.134883,-0.238113,0.888770,0.050414,0.040183,-0.237527,0.799797,-0.000157,-0.000101,-0.000294,-1.000000,0.320913,0.079254,0.036919,0.001266,-0.122511,0.069487,0.553642,0.913660,0.621247,0.071844,0.513783,0.917495,0.515890,0.103905,-0.038969,0.628480,0.522129,0.103444,0.092189,0.000000,-0.176698,0.064683,-0.427911,0.365917,0.565422,0.062161,-0.471222,0.921526,0.086033,0.135812,-0.148367,0.088569,0.040906,-0.149942,0.016545,0.071712,-0.170372,0.046842,0.135118,-0.237752,0.050384,0.039396,-0.237674,-0.122576,0.069633,0.553948,0.621014,0.071921,0.513563,0.517076,0.103607,-0.038124,,,,-0.178319,0.063788,-0.429644,0.565351,0.062406,-0.471405
14,0.140000,-0.002417,0.214107,-0.005130,0.976794,0.057773,0.084739,-0.188795,0.000517,0.086261,0.135386,-0.148447,0.833903,0.088933,0.041111,-0.149483,0.856537,0.016244,0.071833,-0.170444,0.901143,0.046933,0.135035,-0.238108,0.899650,0.050494,0.040330,-0.237496,0.782655,-0.000072,-0.000123,-0.000437,-1.000000,0.320828,0.079258,0.036804,0.001305,-0.122570,0.069453,0.553549,0.891460,0.621185,0.072015,0.513657,0.880636,0.515794,0.103952,-0.039097,0.589510,0.522039,0.103516,0.092062,0.000000,-0.176800,0.064466,-0.428000,0.416400,0.565319,0.062148,-0.471344,0.933343,0.086169,0.136011,-0.148242,0.088589,0.040971,-0.149920,0.016625,0.071905,-0.170367,0.047043,0.135311,-0.237839,0.050437,0.039470,-0.237612,-0.122581,0.069619,0.553951,0.620886,0.072060,0.513287,0.517076,0.103612,-0.038128,,,,-0.178320,0.063784,-0.429637,0.565357,0.062405,-0.471403
15,0.150000,-0.001836,0.214137,-0.005068,0.976789,0.057838,0.084949,-0.188700,0.000536,0.086335,0.135546,-0.148294,0.824125,0.088995,0.041271,-0.149440,0.853092,0.016309,0.072027,-0.170361,0.903745,0.047002,0.135303,-0.237954,0.878822,0.050551,0.040598,-0.237451,0.765844,-0.000152,-0.000102,-0.000233,-1.000000,0.320944,0.079282,0.036917,0.001250,-0.122481,0.069575,0.553642,0.925741,0.621278,0.071839,0.513781,0.911719,0.515923,0.103908,-0.038971,0.635521,0.522162,0.103448,0.092188,0.000000,-0.176670,0.064767,-0.427911,0.354787,0.565449,0.062153,-0.471224,0.920413,0.086213,0.136218,-0.148127,0.088669,0.041094,-0.149895,0.016690,0.072037,-0.170305,0.047164,0.135675,-0.237687,0.050451,0.039667,-0.237487,-0.122494,0.069720,0.553900,0.621012,0.071924,0.513564,0.517074,0.103610,-0.038128,,,,-0.178323,0.063794,-0.429639,0.565353,0.062401,-0.471399
