timestamp,magnitude,direction,given_Fx,given_Fz,measured_Fx,measured_Fy,measured_magnitude,measured_direction,t_sec,step,t_in_step
2026-06-19 11:35:32.276861,5.0,-129.146721,-3.156542,-3.877659,-0.26,-0.063,0.2675238307142001,-166.3793124693997,0.0,0,0.0
2026-06-19 11:35:32.286861,5.0,-129.146721,-3.156542,-3.877659,-0.12130442110722156,0.031166861143523926,0.1252443045160052,165.59061537488438,0.01,0,0.01
2026-06-19 11:35:32.296861,5.0,-129.146721,-3.156542,-3.877659,0.17337542751907392,0.12213075506445671,0.21207300676898033,35.1619936005185,0.02,0,0.02
2026-06-19 11:35:32.306861,5.0,-129.146721,-3.156542,-3.877659,0.1375870006770479,0.07067501692620157,0.15467753803582748,27.18843710570998,0.03,0,0.03
2026-06-19 11:35:32.316861,5.0,-129.146721,-3.156542,-3.877659,0.003810631229235785,-0.05568770764119603,0.05581793343269302,-86.08543302154266,0.04,0,0.04
2026-06-19 11:35:32.326861,5.0,-129.146721,-3.156542,-3.877659,0.14225708289611766,0.056654774396642384,0.15312361377673706,21.71522954324381,0.05,0,0.05
2026-06-19 11:35:32.336861,5.0,-129.146721,-3.156542,-3.877659,-0.0375413988657844,-0.08138298676748583,0.08962447859818595,-114.76354344956853,0.06,0,0.06
2026-06-19 11:35:32.346861,5.0,-129.146721,-3.156542,-3.877659,0.12379798343536202,0.06879798343536203,0.1416301635508288,29.062145729979786,0.07,0,0.07
2026-06-19 11:35:32.356861,5.0,-129.146721,-3.156542,-3.877659,-0.4804535246412981,-0.36534965689332527,0.603585918600092,-142.7496745462072,0.08,0,0.08
2026-06-19 11:35:32.366861,5.0,-129.146721,-3.156542,-3.877659,-0.5067457751653196,-0.5431359294636298,0.7428242850918524,-133.01485455314742,0.09,0,0.09
2026-06-19 11:35:32.376861,5.0,-129.146721,-3.156542,-3.877659,-0.997666852367688,-0.8214206128133704,1.292312257725641,-140.53395319239007,0.1,0,0.1
2026-06-19 11:35:32.386861,5.0,-129.146721,-3.156542,-3.877659,-0.6071739295187568,-0.5388957938613108,0.8118305594941969,-138.4094177941524,0.11,0,0.11
2026-06-19 11:35:32.396861,5.0,-129.146721,-3.156542,-3.877659,-1.1450679380214541,-0.9283790226460072,1.4741330307587102,-140.9661306911039,0.12,0,0.12
2026-06-19 11:35:32.406861,5.0,-129.146721,-3.156542,-3.877659,-1.3266027321903362,-1.0099779957825248,1.6673123165801151,-142.71701560340654,0.13,0,0.13
2026-06-19 11:35:32.416861,5.0,-129.146721,-3.156542,-3.877659,-1.6019430147058835,-1.395015012254902,2.1242147506270452,-138.94977643027974,0.14,0,0.14
2026-06-19 11:35:32.426861,5.0,-129.146721,-3.156542,-3.877659,-1.6321552159926476,-1.268222886029412,2.0669591040320023,-142.15195525294868,0.15,0,0.15
2026-06-19 11:35:32.436861,5.0,-129.146721,-3.156542,-3.877659,-2.130778186274508,-1.8077113970588228,2.7942863443390413,-139.6893646948212,0.16,0,0.16
2026-06-19 11:35:32.446861,5.0,-129.146721,-3.156542,-3.877659,-2.2418352378421473,-2.0697161838958276,3.051155570519318,-137.28605917769997,0.17,0,0.17
2026-06-19 11:35:32.456861,5.0,-129.146721,-3.156542,-3.877659,-2.6953599763173473,-2.336606867969213,3.5671693339921986,-139.07799151257703,0.18,0,0.18
2026-06-19 11:35:32.466861,5.0,-129.146721,-3.156542,-3.877659,-2.2140190568475453,-1.987295865633075,2.9751008792386195,-138.08896002699623,0.19,0,0.19
2026-06-19 11:35:32.476861,5.0,-129.146721,-3.156542,-3.877659,-2.5505760440349405,-2.155083283474931,3.339134935146829,-139.80420156278095,0.2,0,0.2
2026-06-19 11:35:32.486861,5.0,-129.146721,-3.156542,-3.877659,-2.5855101522842645,-2.1545561361600476,3.3655571442823424,-140.19489524679506,0.21,0,0.21
2026-06-19 11:35:32.496861,5.0,-129.146721,-3.156542,-3.877659,-2.502546511627904,-2.1570415282392026,3.3038715467477706,-139.24067883854846,0.22,0,0.22
2026-06-19 11:35:32.506861,5.0,-129.146721,-3.156542,-3.877659,-2.167027777777778,-1.989262077294686,2.941627611004368,-137.44906417538996,0.23,0,0.23
2026-06-19 11:35:32.516861,5.0,-129.146721,-3.156542,-3.877659,-2.071984590328239,-1.974719786185584,2.862278528814154,-136.3768710197883,0.24,0,0.24
2026-06-19 11:35:32.526861,5.0,-129.146721,-3.156542,-3.877659,-2.015607742420446,-2.006457863526267,2.8440372236332703,-135.1303431099045,0.25,0,0.25
2026-06-19 11:35:32.536861,5.0,-129.146721,-3.156542,-3.877659,-2.497623141564318,-2.09579767291532,3.2604431053270786,-139.99942093130696,0.26,0,0.26
2026-06-19 11:35:32.546861,5.0,-129.146721,-3.156542,-3.877659,-2.2827938547486037,-2.1334296089385476,3.124527112952242,-136.9371030557316,0.27,0,0.27
2026-06-19 11:35:32.556861,5.0,-129.146721,-3.156542,-3.877659,-2.1723562588568726,-2.1811883797827116,3.078427271106751,-134.88376309399266,0.28,0,0.28
2026-06-19 11:35:32.566861,5.0,-129.146721,-3.156542,-3.877659,-2.3331278158667983,-2.1522365328109703,3.1742097439106893,-137.30944305613872,0.29,0,0.29
2026-06-19 11:35:32.576861,5.0,-129.146721,-3.156542,-3.877659,-2.2967863916905005,-2.1835708264338396,3.1691022834720295,-136.44751714934483,0.3,0,0.3
2026-06-19 11:35:32.586861,5.0,-129.146721,-3.156542,-3.877659,-2.7038753374809246,-2.2655311656297688,3.527544939908968,-140.0409309197655,0.31,0,0.31
2026-06-19 11:35:32.596861,5.0,-129.146721,-3.156542,-3.877659,-2.6310877507163344,-2.280961318051576,3.482155551726132,-139.07709603227934,0.32,0,0.32
2026-06-19 11:35:32.606861,5.0,-129.146721,-3.156542,-3.877659,-2.3017023440955326,-2.1194533392304287,3.128884168196369,-137.36051181440422,0.33,0,0.33
2026-06-19 11:35:32.616861,5.0,-129.146721,-3.156542,-3.877659,-2.107205050853301,-2.112561454921565,2.9838279151388716,-134.9272710513188,0.34,0,0.34
2026-06-19 11:35:32.626861,5.0,-129.146721,-3.156542,-3.877659,-2.4230644783118342,-2.1838464243845253,3.2619666876523548,-137.97246601663605,0.35,0,0.35
2026-06-19 11:35:32.636861,5.0,-129.146721,-3.156542,-3.877659,-2.567945294117642,-2.261229999999999,3.4216230281082893,-138.63414412035004,0.36,0,0.36
2026-06-19 11:35:32.646861,5.0,-129.146721,-3.156542,-3.877659,-2.6995953757225433,-2.265496584340515,3.52424317638285,-139.99667351923785,0.37,0,0.37
2026-06-19 11:35:32.656861,5.0,-129.146721,-3.156542,-3.877659,-2.6039894934333954,-2.285003001876173,3.464390278316609,-138.73302089329087,0.38,0,0.38
2026-06-19 11:35:32.666861,5.0,-129.146721,-3.156542,-3.877659,-2.334765388046386,-2.1003398751115068,3.140470825879905,-138.0256564495971,0.39,0,0.39
2026-06-19 11:35:32.676861,5.0,-129.146721,-3.156542,-3.877659,-2.117164803312629,-2.0571966873706002,2.952023884543344,-135.82304410414278,0.4,0,0.4
2026-06-19 11:35:32.686861,5.0,-129.146721,-3.156542,-3.877659,-2.329742524916944,-2.1441943521594684,3.1662706220787475,-137.37487441535515,0.41,0,0.41
2026-06-19 11:35:32.696861,5.0,-129.146721,-3.156542,-3.877659,-2.5085544724770608,-2.2270123279816505,3.354464107777413,-138.40238278799353,0.42,0,0.42
2026-06-19 11:35:32.706861,5.0,-129.146721,-3.156542,-3.877659,-2.2986031567080047,-2.1188320180383315,3.1261838705828535,-137.33041268888968,0.43,0,0.43
2026-06-19 11:35:32.716861,5.0,-129.146721,-3.156542,-3.877659,-2.572047733654231,-2.236801042920177,3.408622661692646,-138.98789683886307,0.44,0,0.44
2026-06-19 11:35:32.726861,5.0,-129.146721,-3.156542,-3.877659,-2.5829291228884887,-2.1743051024554476,3.376259103272332,-139.90938752325062,0.45,0,0.45
