timestamp,t_sec,x_cam_cm,z_cam_cm,x_enc_cm,z_enc_cm,err_x_cm,err_z_cm,err_2d_cm
2026-04-02 12:39:07.456215,0.031571,-6.866244067241165,-18.88075238978539,-6.866244067241167,-18.880752389785382,-2.6645352591003757e-15,7.105427357601002e-15,7.588599744428075e-15
2026-04-02 12:39:07.528555,0.103911,-6.806370052162079,-18.73688992742431,-6.866244067241167,-18.880752389785382,-0.05987401507908796,-0.1438624623610707,0.15582459933618098
2026-04-02 12:39:07.561958,0.137314,-6.82508706534689,-18.784317051937805,-6.865561734752223,-18.87895443594457,-0.04047466940533351,-0.09463738400676647,0.10292926364797922
2026-04-02 12:39:07.585062,0.160418,-6.8644573767308135,-18.872588951816425,-6.865561734752223,-18.87895443594457,-0.0011043580214096238,-0.006365484128146193,0.006460572329533419
2026-04-02 12:39:07.609187,0.184543,-6.678554450132962,-18.507783678935215,-6.865561734752223,-18.87895443594457,-0.18700728461926097,-0.37117075700935587,0.4156193635522382
2026-04-02 12:39:07.631736,0.207092,-6.726303258817748,-18.594182285069444,-6.865561734752223,-18.87895443594457,-0.13925847593447482,-0.28477215087512775,0.316998582068815
2026-04-02 12:39:07.654752,0.230108,-6.776586401109971,-18.695609479847583,-6.865561734752223,-18.87895443594457,-0.08897533364225207,-0.1833449560969882,0.20379397175323075
2026-04-02 12:39:07.677945,0.253301,-6.889854327564919,-18.926310415258595,-6.865561734752223,-18.87895443594457,0.0242925928126958,0.047355979314023244,0.05322329229156758
2026-04-02 12:39:07.698964,0.27432,-6.782604245018849,-18.6988619435244,-6.865561734752223,-18.87895443594457,-0.08295748973337425,-0.18009249242017233,0.19828073766499035
2026-04-02 12:39:07.723079,0.298435,-6.82099754833096,-18.78313785948368,-6.865561734752223,-18.87895443594457,-0.0445641864212627,-0.0958165764608907,0.10567300050663257
2026-04-02 12:39:07.746218,0.321574,-6.6156733762831,-18.40294473089545,-6.865561734752223,-18.87895443594457,-0.24988835846912316,-0.47600970504912254,0.5376145747646223
2026-04-02 12:39:07.769737,0.345093,-6.730918947773996,-18.613452747158345,-6.865561734752223,-18.87895443594457,-0.13464278697822696,-0.2655016887862267,0.29769082423481347
2026-04-02 12:39:07.796585,0.371941,-6.680854867057097,-18.520271988164225,-6.865561734752223,-18.87895443594457,-0.1847068676951258,-0.3586824477803461,0.40344730178729094
2026-04-02 12:39:07.825816,0.401172,-6.750612309343913,-18.65105062352772,-6.865561734752223,-18.87895443594457,-0.11494942540830966,-0.22790381241685154,0.2552518719144602
2026-04-02 12:39:07.853049,0.428405,-6.764497066987849,-18.68606593647509,-6.865561734752223,-18.87895443594457,-0.1010646677643745,-0.1928884994694826,0.21776142977559637
2026-04-02 12:39:07.875782,0.451138,-6.821044150909075,-18.785520813818778,-6.865561734752223,-18.87895443594457,-0.04451758384314797,-0.09343362212579365,0.10349713529744341
2026-04-02 12:39:07.898118,0.473474,-6.90475331502294,-18.970259369991904,-6.866244067241167,-18.880752389785382,0.03850924778177234,0.08950698020652226,0.09743952827476489
