Format Version,1.23,Take Name,linear_t2_may_14_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-14 03.15.21.751 PM,Total Frames in Take,4800,Total Exported Frames,4800,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.000070,-0.000036,-0.000456,-1.000000,0.561440,0.080882,-0.029501,0.000593,0.061756,0.068482,-0.493228,0.909001,0.804835,0.065745,-0.538179,0.900282,0.864001,0.069624,0.446982,0.571159,0.761865,0.104930,0.024552,0.846343,0.756619,0.105891,-0.104961,0.952516,0.119566,0.070618,0.487827,0.787170,0.013666,-0.176849,-0.003590,0.984137,0.296997,0.124481,-0.227849,0.000691,0.253887,0.106348,-0.223256,0.706674,0.296093,0.179177,-0.273987,0.784658,0.307031,0.172621,-0.177966,0.826698,0.308754,0.085313,-0.279763,0.940474,0.319217,0.078944,-0.184274,0.866322,0.253421,0.107143,-0.223981,0.295837,0.178363,-0.274104,0.307159,0.172753,-0.177298,0.308818,0.085445,-0.279951,0.319668,0.078799,-0.184027,0.061972,0.068773,-0.493264,0.805013,0.065391,-0.538137,0.862639,0.070509,0.446429,0.762337,0.104663,0.024264,0.756638,0.106050,-0.105063,0.119533,0.070223,0.488580
7,0.070000,-0.000084,-0.000046,-0.000438,-1.000000,0.561442,0.080877,-0.029500,0.000596,0.061748,0.068509,-0.493216,0.909001,0.804826,0.065746,-0.538183,0.900282,0.864012,0.069596,0.446976,0.571159,0.761868,0.104917,0.024550,0.846343,0.756620,0.105882,-0.104963,0.952516,0.119578,0.070615,0.487837,0.787170,0.015059,-0.177523,-0.005073,0.983988,0.296955,0.124597,-0.228009,0.000696,0.253796,0.106555,-0.223533,0.706674,0.296248,0.179446,-0.273969,0.784658,0.307040,0.172550,-0.177955,0.826698,0.308687,0.085571,-0.280035,0.940474,0.319005,0.078864,-0.184553,0.866322,0.253495,0.107209,-0.223917,0.295881,0.178331,-0.274064,0.307165,0.172757,-0.177217,0.308914,0.085580,-0.279876,0.319261,0.078939,-0.184988,0.061955,0.068800,-0.493245,0.805017,0.065391,-0.538136,0.862650,0.070500,0.446413,0.762351,0.104649,0.024258,0.756630,0.106038,-0.105069,0.119532,0.070218,0.488588
8,0.080000,0.000001,0.000003,-0.000545,-1.000000,0.561349,0.080980,-0.029505,0.000574,0.061703,0.068424,-0.493268,0.888425,0.804786,0.065814,-0.538162,0.876314,0.863875,0.069845,0.447003,0.620866,0.761765,0.105072,0.024560,0.916004,0.756530,0.106013,-0.104954,0.961237,0.119437,0.070711,0.487790,0.766419,0.015060,-0.177359,-0.005211,0.984017,0.296983,0.124647,-0.227930,0.000705,0.253821,0.106616,-0.223440,0.796946,0.296275,0.179498,-0.273887,0.727450,0.307098,0.172594,-0.177877,0.793264,0.308687,0.085620,-0.279962,0.928535,0.319036,0.078905,-0.184484,0.868925,0.253505,0.107258,-0.223826,0.295919,0.178469,-0.273937,0.307238,0.172859,-0.177106,0.308938,0.085571,-0.279833,0.319275,0.078959,-0.184948,0.061954,0.068793,-0.493256,0.805010,0.065374,-0.538130,0.862639,0.070502,0.446418,0.761962,0.105115,0.024291,0.756640,0.106031,-0.105061,0.119533,0.070228,0.488584
9,0.090000,-0.000002,0.000001,-0.000559,-1.000000,0.561347,0.080985,-0.029512,0.000570,0.061700,0.068419,-0.493273,0.891490,0.804782,0.065830,-0.538169,0.877557,0.863875,0.069856,0.446995,0.622098,0.761763,0.105082,0.024553,0.915306,0.756527,0.106025,-0.104961,0.963161,0.119437,0.070701,0.487785,0.765752,0.013498,-0.176355,-0.005709,0.984217,0.296969,0.124457,-0.227862,0.000689,0.253788,0.106504,-0.223231,0.753164,0.296247,0.179176,-0.273976,0.816090,0.307259,0.172533,-0.177970,0.746084,0.308506,0.085262,-0.279805,0.879851,0.319043,0.078808,-0.184330,0.830007,0.253578,0.107292,-0.223787,0.295988,0.178495,-0.273879,0.307286,0.172850,-0.177005,0.308653,0.084829,-0.279656,0.319325,0.078907,-0.184941,0.061936,0.068784,-0.493274,0.805010,0.065397,-0.538139,0.862644,0.070509,0.446410,0.761971,0.105116,0.024288,0.756632,0.106044,-0.105062,0.119537,0.070222,0.488585
10,0.100000,-0.000098,-0.000090,-0.000447,-1.000000,0.561471,0.080863,-0.029472,0.000630,0.061736,0.068498,-0.493145,0.891490,0.804810,0.065750,-0.538177,0.877557,0.864082,0.069574,0.446977,0.622098,0.761901,0.104905,0.024561,0.915306,0.756642,0.105873,-0.104952,0.963161,0.119652,0.070579,0.487903,0.765752,0.013931,-0.176204,-0.005758,0.984238,0.296994,0.124540,-0.227784,0.000646,0.253816,0.106581,-0.223155,0.753164,0.296256,0.179300,-0.273850,0.816090,0.307297,0.172574,-0.177853,0.746084,0.308518,0.085392,-0.279764,0.879851,0.319084,0.078855,-0.184298,0.830007,0.253669,0.107359,-0.223748,0.295938,0.178784,-0.273743,0.307359,0.172848,-0.176915,0.308675,0.084812,-0.279617,0.319324,0.078980,-0.184875,0.061942,0.068783,-0.493265,0.805015,0.065393,-0.538125,0.862644,0.070499,0.446419,0.762333,0.104658,0.024255,0.756637,0.106040,-0.105061,0.119673,0.070137,0.488806
11,0.110000,-0.000005,-0.000000,-0.000556,-1.000000,0.561351,0.080974,-0.029505,0.000579,0.061702,0.068414,-0.493265,0.889106,0.804784,0.065820,-0.538163,0.878793,0.863879,0.069840,0.447001,0.618400,0.761766,0.105069,0.024560,0.914382,0.756530,0.106012,-0.104954,0.961305,0.119442,0.070690,0.487793,0.765594,0.013973,-0.176260,-0.005904,0.984227,0.297030,0.124571,-0.227746,0.000652,0.253847,0.106623,-0.223124,0.767142,0.296312,0.179336,-0.273804,0.847143,0.307341,0.172595,-0.177806,0.752438,0.308549,0.085426,-0.279730,0.843703,0.319103,0.078873,-0.184263,0.841344,0.253707,0.107346,-0.223693,0.295991,0.178832,-0.273678,0.307413,0.172915,-0.176872,0.308709,0.084836,-0.279596,0.319330,0.078989,-0.184845,0.061960,0.068775,-0.493251,0.805009,0.065391,-0.538139,0.862628,0.070492,0.446420,0.761965,0.105109,0.024284,0.756640,0.106029,-0.105062,0.119535,0.070215,0.488596
12,0.120000,-0.000008,-0.000030,-0.000546,-1.000000,0.561376,0.080972,-0.029482,0.000610,0.061699,0.068424,-0.493213,0.889106,0.804779,0.065816,-0.538155,0.878793,0.863932,0.069829,0.447006,0.618400,0.761795,0.105063,0.024571,0.914382,0.756551,0.106007,-0.104943,0.961305,0.119498,0.070693,0.487842,0.765594,0.013767,-0.176252,-0.005893,0.984231,0.297085,0.124509,-0.227717,0.000681,0.253901,0.106565,-0.223087,0.767142,0.296368,0.179256,-0.273798,0.847143,0.307399,0.172554,-0.177798,0.752438,0.308601,0.085342,-0.279685,0.843703,0.319156,0.078829,-0.184217,0.841344,0.253782,0.107334,-0.223680,0.296024,0.178830,-0.273646,0.307466,0.172890,-0.176871,0.308782,0.084648,-0.279506,0.319368,0.078929,-0.184854,0.061957,0.068787,-0.493257,0.805014,0.065388,-0.538133,0.862640,0.070491,0.446419,0.761953,0.105125,0.024289,0.756640,0.106030,-0.105065,0.119668,0.070144,0.488806
13,0.130000,-0.000022,-0.000000,-0.000578,-1.000000,0.561349,0.080992,-0.029492,0.000588,0.061700,0.068425,-0.493252,0.892169,0.804783,0.065866,-0.538151,0.881270,0.863878,0.069854,0.447013,0.621252,0.761763,0.105094,0.024573,0.912437,0.756527,0.106042,-0.104941,0.959271,0.119441,0.070669,0.487806,0.770971,0.014166,-0.176183,-0.006140,0.984236,0.297073,0.124553,-0.227729,0.000668,0.253883,0.106620,-0.223108,0.766379,0.296369,0.179340,-0.273762,0.846745,0.307410,0.172550,-0.177769,0.743819,0.308568,0.085427,-0.279733,0.846521,0.319135,0.078827,-0.184271,0.841195,0.253732,0.107340,-0.223684,0.296047,0.178831,-0.273647,0.307486,0.172907,-0.176812,0.308730,0.084853,-0.279587,0.319368,0.078906,-0.184857,0.061946,0.068780,-0.493245,0.805009,0.065458,-0.538065,0.862654,0.070509,0.446405,0.761961,0.105116,0.024285,0.756635,0.106044,-0.105063,0.119532,0.070212,0.488595
14,0.140000,-0.000069,-0.000040,-0.000449,-1.000000,0.561443,0.080877,-0.029506,0.000599,0.061755,0.068483,-0.493228,0.892169,0.804833,0.065736,-0.538185,0.881270,0.864007,0.069617,0.446975,0.621252,0.761868,0.104923,0.024546,0.912437,0.756621,0.105884,-0.104967,0.959271,0.119573,0.070621,0.487826,0.770971,0.014262,-0.176075,-0.006154,0.984254,0.297096,0.124533,-0.227722,0.000637,0.253907,0.106599,-0.223095,0.766379,0.296381,0.179330,-0.273744,0.846745,0.307443,0.172521,-0.177755,0.743819,0.308580,0.085418,-0.279736,0.846521,0.319167,0.078799,-0.184278,0.841195,0.253801,0.107308,-0.223661,0.296050,0.178838,-0.273625,0.307517,0.172838,-0.176843,0.308733,0.084834,-0.279586,0.319379,0.078904,-0.184857,0.061974,0.068773,-0.493262,0.805010,0.065384,-0.538139,0.862646,0.070501,0.446407,0.762346,0.104665,0.024255,0.756636,0.106035,-0.105066,0.119533,0.070226,0.488581
15,0.150000,-0.000007,-0.000002,-0.000546,-1.000000,0.561354,0.080978,-0.029504,0.000579,0.061703,0.068428,-0.493263,0.888513,0.804785,0.065820,-0.538163,0.876758,0.863884,0.069836,0.447000,0.615187,0.761770,0.105069,0.024560,0.913279,0.756533,0.106013,-0.104954,0.961600,0.119446,0.070700,0.487795,0.767512,0.013880,-0.176182,-0.006113,0.984241,0.297112,0.124476,-0.227703,0.000677,0.253922,0.106547,-0.223072,0.760283,0.296410,0.179237,-0.273767,0.861553,0.307452,0.172501,-0.177770,0.753577,0.308605,0.085320,-0.279684,0.812433,0.319172,0.078774,-0.184219,0.829209,0.253792,0.107301,-0.223650,0.296065,0.178827,-0.273628,0.307527,0.172811,-0.176838,0.308794,0.084616,-0.279505,0.319382,0.078896,-0.184858,0.061958,0.068794,-0.493247,0.805009,0.065382,-0.538134,0.862624,0.070503,0.446419,0.761975,0.105114,0.024283,0.756642,0.106028,-0.105062,0.119537,0.070220,0.488586
