timestamp,t_rel,step,target_mag,target_angle,Fmg,Fml,Fdg,Fdl
2026-06-15 12:03:34.572281,0.474355,0,5.0,-129.434,5.0,5.7943625188626235,-129.434254,-133.9161739865036
2026-06-15 12:03:34.582281,0.484355,0,5.0,-129.434,5.0,6.429021854061471,-129.434254,-136.70172880302448
2026-06-15 12:03:34.592281,0.494355,0,5.0,-129.434,5.0,5.460098533909439,-129.434254,-139.85853685298372
2026-06-15 12:03:34.602281,0.504355,0,5.0,-129.434,5.0,5.056382995778701,-129.434254,-139.67647408152573
2026-06-15 12:03:34.612281,0.514355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.622281,0.524355,0,5.0,-129.434,5.0,5.180404810437115,-129.434254,-136.93989665937133
2026-06-15 12:03:34.632281,0.534355,0,5.0,-129.434,5.0,6.566274133783938,-129.434254,-135.28382342229918
2026-06-15 12:03:34.642281,0.544355,0,5.0,-129.434,5.0,6.566274133783938,-129.434254,-135.28382342229918
2026-06-15 12:03:34.652281,0.554355,0,5.0,-129.434,5.0,5.224678841804537,-129.434254,-137.2726342160881
2026-06-15 12:03:34.662281,0.564355,0,5.0,-129.434,5.0,4.883369738203324,-129.434254,-135.348449619414
2026-06-15 12:03:34.672281,0.574355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.682281,0.584355,0,5.0,-129.434,5.0,6.160821779600511,-129.434254,-133.86225841047934
2026-06-15 12:03:34.692281,0.594355,0,5.0,-129.434,5.0,5.050963967402658,-129.434254,-134.63904858333711
2026-06-15 12:03:34.702281,0.604355,0,5.0,-129.434,5.0,4.1705807749041375,-129.434254,-137.60432661538113
2026-06-15 12:03:34.712281,0.614355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.722281,0.624355,0,5.0,-129.434,5.0,4.014620405467994,-129.434254,-138.80736195360203
2026-06-15 12:03:34.732281,0.634355,0,5.0,-129.434,5.0,4.721967810140175,-129.434254,-138.4168438543768
2026-06-15 12:03:34.742281,0.644355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.752281,0.654355,0,5.0,-129.434,5.0,4.752844727108177,-129.434254,-135.72457694276287
2026-06-15 12:03:34.762281,0.664355,0,5.0,-129.434,5.0,5.927864539612895,-129.434254,-133.4005096215539
2026-06-15 12:03:34.772281,0.674355,0,5.0,-129.434,5.0,4.789705314526145,-129.434254,-135.8035939972965
2026-06-15 12:03:34.782281,0.684355,0,5.0,-129.434,5.0,4.040006064351884,-129.434254,-139.34640433847414
2026-06-15 12:03:34.792281,0.694355,0,5.0,-129.434,5.0,3.9807662578955822,-129.434254,-139.78899754370127
2026-06-15 12:03:34.802281,0.704355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.812281,0.714355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.822281,0.724355,0,5.0,-129.434,5.0,4.275180113164824,-129.434254,-136.81033458867122
2026-06-15 12:03:34.832281,0.734355,0,5.0,-129.434,5.0,4.596955731785982,-129.434254,-136.76293312248032
2026-06-15 12:03:34.842281,0.744355,0,5.0,-129.434,5.0,4.642868186800052,-129.434254,-133.99644465780148
2026-06-15 12:03:34.852281,0.754355,0,5.0,-129.434,5.0,5.9047115086175035,-129.434254,-132.73516798306784
2026-06-15 12:03:34.862281,0.764355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.872281,0.774355,0,5.0,-129.434,5.0,4.959428394482574,-129.434254,-136.25814771689477
2026-06-15 12:03:34.882281,0.784355,0,5.0,-129.434,5.0,4.959428394482574,-129.434254,-136.25814771689477
2026-06-15 12:03:34.892281,0.794355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.902281,0.804355,0,5.0,-129.434,5.0,4.268131792716809,-129.434254,-140.00880051304875
2026-06-15 12:03:34.912281,0.814355,0,5.0,-129.434,5.0,4.02076174374956,-129.434254,-141.00636888014964
2026-06-15 12:03:34.922281,0.824355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.932281,0.834355,0,5.0,-129.434,5.0,4.22750162625634,-129.434254,-135.80503993956987
2026-06-15 12:03:34.942281,0.844355,0,5.0,-129.434,5.0,4.22750162625634,-129.434254,-135.80503993956987
2026-06-15 12:03:34.952281,0.854355,0,5.0,-129.434,5.0,,-129.434254,
2026-06-15 12:03:34.962281,0.864355,0,5.0,-129.434,5.0,,-129.434254,
