timestamp,t_rel,step,target_mag,target_angle,Fml,Fdl,lc_Fx,lc_Fy,gui_Fx,gui_Fz
2026-06-15 19:25:29.477454,0.386601,0,5.0,-129.862,0.5786622503671723,-120.42036294200174,-0.293,-0.499,-3.204723,-3.837936
2026-06-15 19:25:29.487454,0.396601,0,5.0,-129.862,0.8011398130164297,-131.60978240644496,-0.532,-0.599,-3.204723,-3.837936
2026-06-15 19:25:29.497454,0.406601,0,5.0,-129.862,1.2905076520501535,-133.05319564181735,-0.881,-0.943,-3.204723,-3.837936
2026-06-15 19:25:29.507454,0.416601,0,5.0,-129.862,1.1351761977772437,-140.11041756103123,-0.871,-0.728,-3.204723,-3.837936
2026-06-15 19:25:29.517454,0.426601,0,5.0,-129.862,0.7319050484864823,-127.84065424866752,-0.449,-0.578,-3.204723,-3.837936
2026-06-15 19:25:29.527454,0.436601,0,5.0,-129.862,0.7319050484864823,-127.84065424866752,-0.449,-0.578,-3.204723,-3.837936
2026-06-15 19:25:29.537454,0.446601,0,5.0,-129.862,0.9587580508136555,-128.43581546978206,-0.596,-0.751,-3.204723,-3.837936
2026-06-15 19:25:29.547454,0.456601,0,5.0,-129.862,1.548062337246146,-131.41223813971123,-1.024,-1.161,-3.204723,-3.837936
2026-06-15 19:25:29.557454,0.466601,0,5.0,-129.862,1.7721345885682611,-131.3167094443022,-1.17,-1.331,-3.204723,-3.837936
2026-06-15 19:25:29.567454,0.476601,0,5.0,-129.862,2.0358371742357,-134.5024805534884,-1.427,-1.452,-3.204723,-3.837936
2026-06-15 19:25:29.577454,0.486601,0,5.0,-129.862,2.114959337670585,-135.09578021755564,-1.498,-1.493,-3.204723,-3.837936
2026-06-15 19:25:29.587454,0.496601,0,5.0,-129.862,2.2425639344286266,-137.25883922927758,-1.647,-1.522,-3.204723,-3.837936
2026-06-15 19:25:29.597454,0.506601,0,5.0,-129.862,2.1425354139430226,-135.07563794881727,-1.517,-1.513,-3.204723,-3.837936
2026-06-15 19:25:29.607454,0.516601,0,5.0,-129.862,2.5035175254030078,-135.97102193107918,-1.8,-1.74,-3.204723,-3.837936
2026-06-15 19:25:29.617454,0.526601,0,5.0,-129.862,2.8127779862619797,-138.11271662033946,-2.094,-1.878,-3.204723,-3.837936
2026-06-15 19:25:29.627454,0.536601,0,5.0,-129.862,,,,,-3.204723,-3.837936
2026-06-15 19:25:29.637454,0.546601,0,5.0,-129.862,,,,,-3.204723,-3.837936
2026-06-15 19:25:29.647454,0.556601,0,5.0,-129.862,2.52276118568524,-138.2457507923533,-1.882,-1.68,-3.204723,-3.837936
2026-06-15 19:25:29.657454,0.566601,0,5.0,-129.862,2.588014296714761,-135.09392742325682,-1.833,-1.827,-3.204723,-3.837936
2026-06-15 19:25:29.667454,0.576601,0,5.0,-129.862,2.691084539734863,-136.74664864447718,-1.96,-1.844,-3.204723,-3.837936
2026-06-15 19:25:29.677454,0.586601,0,5.0,-129.862,2.866984827305509,-138.25194560036388,-2.139,-1.909,-3.204723,-3.837936
2026-06-15 19:25:29.687454,0.596601,0,5.0,-129.862,2.866984827305509,-138.25194560036388,-2.139,-1.909,-3.204723,-3.837936
2026-06-15 19:25:29.697454,0.606601,0,5.0,-129.862,2.5051692557589798,-137.66938754338025,-1.852,-1.687,-3.204723,-3.837936
2026-06-15 19:25:29.707454,0.616601,0,5.0,-129.862,2.2931657157737204,-134.770323421513,-1.615,-1.628,-3.204723,-3.837936
2026-06-15 19:25:29.717454,0.626601,0,5.0,-129.862,2.424689670865119,-133.59630031074724,-1.672,-1.756,-3.204723,-3.837936
2026-06-15 19:25:29.727454,0.636601,0,5.0,-129.862,2.591141833246494,-135.87563150983206,-1.86,-1.804,-3.204723,-3.837936
2026-06-15 19:25:29.737454,0.646601,0,5.0,-129.862,2.899310435258702,-133.58850865699532,-1.999,-2.1,-3.204723,-3.837936
2026-06-15 19:25:29.747454,0.656601,0,5.0,-129.862,2.3296222869813037,-133.92170038810733,-1.616,-1.678,-3.204723,-3.837936
2026-06-15 19:25:29.757454,0.666601,0,5.0,-129.862,2.3433791839990388,-134.72337798750223,-1.649,-1.665,-3.204723,-3.837936
2026-06-15 19:25:29.767454,0.676601,0,5.0,-129.862,2.5690988692535752,-135.67811821677938,-1.838,-1.795,-3.204723,-3.837936
2026-06-15 19:25:29.777454,0.686601,0,5.0,-129.862,2.5826362500359976,-135.84713763321028,-1.853,-1.799,-3.204723,-3.837936
2026-06-15 19:25:29.787454,0.696601,0,5.0,-129.862,2.5826362500359976,-135.84713763321028,-1.853,-1.799,-3.204723,-3.837936
2026-06-15 19:25:29.797454,0.706601,0,5.0,-129.862,2.824627763086669,-138.30076418203345,-2.109,-1.879,-3.204723,-3.837936
2026-06-15 19:25:29.807454,0.716601,0,5.0,-129.862,2.351974914832214,-134.37986544848266,-1.645,-1.681,-3.204723,-3.837936
2026-06-15 19:25:29.817454,0.726601,0,5.0,-129.862,2.815162162291899,-138.45604070531544,-2.107,-1.867,-3.204723,-3.837936
2026-06-15 19:25:29.827454,0.736601,0,5.0,-129.862,2.779876615966975,-132.638325099834,-1.883,-2.045,-3.204723,-3.837936
2026-06-15 19:25:29.837454,0.746601,0,5.0,-129.862,2.309213285948269,-133.13994519723508,-1.579,-1.685,-3.204723,-3.837936
2026-06-15 19:25:29.847454,0.756601,0,5.0,-129.862,2.4466940961223576,-134.47011194465588,-1.714,-1.746,-3.204723,-3.837936
2026-06-15 19:25:29.857454,0.766601,0,5.0,-129.862,2.7511688425103977,-132.1714227535494,-1.847,-2.039,-3.204723,-3.837936
2026-06-15 19:25:29.867454,0.776601,0,5.0,-129.862,2.439796917778199,-137.54148653978478,-1.8,-1.647,-3.204723,-3.837936
2026-06-15 19:25:29.877454,0.786601,0,5.0,-129.862,2.2685929559971747,-134.24991107833335,-1.583,-1.625,-3.204723,-3.837936
2026-06-15 19:25:29.887454,0.796601,0,5.0,-129.862,2.2982710893190994,-134.2948567786503,-1.605,-1.645,-3.204723,-3.837936
2026-06-15 19:25:29.897454,0.806601,0,5.0,-129.862,2.48557699538759,-135.5052981838978,-1.773,-1.742,-3.204723,-3.837936
2026-06-15 19:25:29.907454,0.816601,0,5.0,-129.862,2.48557699538759,-135.5052981838978,-1.773,-1.742,-3.204723,-3.837936
2026-06-15 19:25:29.917454,0.826601,0,5.0,-129.862,2.8264651068074413,-138.19811744427068,-2.107,-1.884,-3.204723,-3.837936
2026-06-15 19:25:29.927454,0.836601,0,5.0,-129.862,2.267012571645777,-134.7140596190102,-1.595,-1.611,-3.204723,-3.837936
2026-06-15 19:25:29.937454,0.846601,0,5.0,-129.862,2.278719816037066,-133.8976101887504,-1.58,-1.642,,
2026-06-15 19:25:29.947454,0.856601,0,5.0,-129.862,2.8192282631954444,-138.39346468146712,-2.108,-1.872,-3.204723,-3.837936
2026-06-15 19:25:29.957454,0.866601,0,5.0,-129.862,2.256153363581474,-133.8147391813776,-1.562,-1.628,-3.204723,-3.837936
2026-06-15 19:25:29.967454,0.876601,0,5.0,-129.862,2.434577581429682,-137.3970285300596,-1.792,-1.648,-3.204723,-3.837936
2026-06-15 19:25:29.977454,0.886601,0,5.0,-129.862,2.226867979921576,-134.2540507361831,-1.554,-1.595,-3.204723,-3.837936
2026-06-15 19:25:29.987454,0.896601,0,5.0,-129.862,2.4035434258610766,-134.51116878782244,-1.685,-1.714,-3.204723,-3.837936
2026-06-15 19:25:29.997454,0.906601,0,5.0,-129.862,2.1995113093594223,-133.89475229872366,-1.525,-1.585,-3.204723,-3.837936
2026-06-15 19:25:30.007454,0.916601,0,5.0,-129.862,2.4048727617069474,-134.91576633602727,-1.698,-1.703,-3.204723,-3.837936
2026-06-15 19:25:30.017454,0.926601,0,5.0,-129.862,2.4567004294378263,-136.5668707433494,-1.784,-1.689,-3.204723,-3.837936
2026-06-15 19:25:30.027454,0.936601,0,5.0,-129.862,2.4567004294378263,-136.5668707433494,-1.784,-1.689,-3.204723,-3.837936
2026-06-15 19:25:30.037454,0.946601,0,5.0,-129.862,2.789996594980001,-138.32723567465368,-2.084,-1.855,-3.204723,-3.837936
2026-06-15 19:25:30.047454,0.956601,0,5.0,-129.862,2.444181867210376,-136.74072524958092,-1.78,-1.675,-3.204723,-3.837936
2026-06-15 19:25:30.057454,0.966601,0,5.0,-129.862,2.23167381129053,-135.36308626454795,-1.588,-1.568,-3.204723,-3.837936
2026-06-15 19:25:30.067454,0.976601,0,5.0,-129.862,2.2094650936369193,-133.8263709936758,-1.53,-1.594,-3.204723,-3.837936
2026-06-15 19:25:30.077454,0.986601,0,5.0,-129.862,2.8405073490487576,-138.8539228613074,-2.139,-1.869,-3.204723,-3.837936
2026-06-15 19:25:30.087454,0.996601,0,5.0,-129.862,2.2253595215155686,-134.47202714478493,-1.559,-1.588,-3.204723,-3.837936
2026-06-15 19:25:30.097454,1.006601,0,5.0,-129.862,2.6814596771161785,-131.7346838761898,-1.785,-2.001,-3.204723,-3.837936
2026-06-15 19:25:30.107454,1.016601,0,5.0,-129.862,2.7953613362139786,-137.65323671660104,-2.066,-1.883,-3.204723,-3.837936
2026-06-15 19:25:30.117454,1.026601,0,5.0,-129.862,2.7953613362139786,-137.65323671660104,-2.066,-1.883,-3.204723,-3.837936
2026-06-15 19:25:30.127454,1.036601,0,5.0,-129.862,2.4289555368511793,-136.98528077459665,-1.776,-1.657,-3.204723,-3.837936
2026-06-15 19:25:30.137454,1.046601,0,5.0,-129.862,2.4289555368511793,-136.98528077459665,-1.776,-1.657,,
