timestamp,t_sec,x_cam_cm,z_cam_cm,x_enc_cm,z_enc_cm,err_x_cm,err_z_cm,err_2d_cm
2026-03-31 12:28:21.928270,0.027567,-0.2979393128469452,-5.652555531674968,-0.2970686635848929,-5.638010880500054,0.0008706492620522699,0.01454465117491388,0.014570686598010262
2026-03-31 12:28:21.967786,0.067083,-0.28322551806337387,-5.620072186754402,-0.2970686635848929,-5.638010880500054,-0.013843145521519051,-0.017938693745652046,0.022658980807402807
2026-03-31 12:28:21.999960,0.099257,-0.3500052583336522,-5.801059561661759,-0.2970686635848929,-5.638010880500054,0.05293659474875928,0.16304868116170557,0.17142682255751546
2026-03-31 12:28:22.025181,0.124478,-0.3284667414591629,-5.751335662737477,-0.2970686635848929,-5.638010880500054,0.03139807787426996,0.1133247822374237,0.11759398608499597
2026-03-31 12:28:22.053820,0.153117,-0.34969917144787627,-5.802973252285095,-0.2967784538657925,-5.633146691175048,0.052920717582083776,0.1698265611100469,0.17788103667301686
2026-03-31 12:28:22.074622,0.173919,-0.29858614263304945,-5.64797838509857,-0.2967784538657925,-5.633146691175048,0.0018076887672569542,0.014831693923522238,0.014941448501410881
2026-03-31 12:28:22.095165,0.194462,-0.274347628849526,-5.586073979094821,-0.2967784538657925,-5.633146691175048,-0.022430825016266476,-0.047072712080226786,0.052143859978892
2026-03-31 12:28:22.115369,0.214666,-0.31528208390818535,-5.70046088006524,-0.2970686635848929,-5.638010880500054,0.01821342032329243,0.062449999565186154,0.0650517572826797
2026-03-31 12:28:22.134123,0.23342,-0.29982835296005467,-5.6719105092202575,-0.2971143666943871,-5.638775004973538,0.002713986265667545,0.03313550424671963,0.03324646391925924
2026-03-31 12:28:22.152667,0.251964,-0.3011678432771007,-5.6658569735748054,-0.2976490930754694,-5.6477152613133095,0.0035187502016313377,0.018141712261495968,0.018479808623478592
2026-03-31 12:28:22.171106,0.270403,-0.2562406917171031,-5.544205686574735,-0.2979393128469454,-5.652555531674943,-0.041698621129842295,-0.10834984510020806,0.11609678693818021
2026-03-31 12:28:22.188499,0.287796,-0.3328713856056703,-5.728207010085497,-0.2979393128469454,-5.652555531674943,0.0349320727587249,0.07565147841055442,0.0833270417867059
2026-03-31 12:28:22.205451,0.304748,-0.25472514837342386,-5.523497832966872,-0.2979393128469454,-5.652555531674943,-0.043214164473521555,-0.1290576987080705,0.13610052757784472
2026-03-31 12:28:22.224511,0.323808,-0.30942292295395607,-5.65932200607672,-0.2979393128469454,-5.652555531674943,0.011483610107010656,0.006766474401777245,0.013328858800352865
2026-03-31 12:28:22.243764,0.343061,-0.2772700099265413,-5.571937020579661,-0.2979393128469454,-5.652555531674943,-0.020669302920404087,-0.08061851109528195,0.08322598401001652
