timestamp,t_sec,x_cam_cm,z_cam_cm,x_enc_cm,z_enc_cm,err_x_cm,err_z_cm,err_2d_cm
2026-03-31 12:21:48.461432,0.0,0.21454342526036427,-19.11838957948506,0.2130205071165514,-19.11381730836482,-0.0015229181438128625,0.004572271120242277,0.004819226376687028
2026-03-31 12:21:48.488828,0.027396,0.2184725544301892,-19.11075082649715,0.21332272805668628,-19.112901934437126,-0.005149826373502919,-0.0021511079399765265,0.0055810372733620306
2026-03-31 12:21:48.523241,0.061809,0.23497381660727276,-19.122699074594564,0.21332272805668628,-19.112901934437126,-0.021651088550586478,0.009797140157438378,0.023764544823956308
2026-03-31 12:21:48.551842,0.09041,0.1990723615533984,-19.107079814564717,0.2130205071165514,-19.11381730836482,0.013948145563152992,-0.0067374938001023565,0.015490144846234401
2026-03-31 12:21:48.573846,0.112414,0.24177581854058863,-19.12678485686947,0.21332272805668628,-19.112901934437126,-0.02845309048390235,0.013882922432344458,0.03165934132839196
2026-03-31 12:21:48.595303,0.133871,0.21514878297631346,-19.11875034632187,0.2127182828256191,-19.114732635830006,-0.002430500150694348,0.0040177104918655004,0.004695671259678574
2026-03-31 12:21:48.613436,0.152004,0.215534350314822,-19.109174734069814,0.21332272805668628,-19.112901934437126,-0.0022116222581357037,-0.003727200367311667,0.004333969957298908
2026-03-31 12:21:48.631667,0.170235,0.24966241770864608,-19.132122995581792,0.2130205071165514,-19.11381730836482,-0.03664191059209468,0.0183056872169729,0.04096007563865947
2026-03-31 12:21:48.649408,0.187976,0.21556089139004608,-19.11831170841745,0.2130205071165514,-19.11381730836482,-0.002540384273494678,0.00449440005263213,0.00516267218503352
2026-03-31 12:21:48.668059,0.206627,0.21342216178932716,-19.114877445072388,0.2130205071165514,-19.11381730836482,-0.00040165467277575306,0.0010601367075686596,0.0011336738132713107
2026-03-31 12:21:48.686846,0.225414,0.21071722589482716,-19.114322946585805,0.2130205071165514,-19.11381730836482,0.0023032812217242404,0.0005056382209858157,0.00235812942750588
2026-03-31 12:21:48.703690,0.242258,0.2108845058285643,-19.115113243117598,0.21332272805668628,-19.112901934437126,0.0024382222281219834,0.002211308680472257,0.003291627821312744
2026-03-31 12:21:48.722791,0.261359,0.19245981934413808,-19.114286472261526,0.2130205071165514,-19.11381730836482,0.020560687772413322,0.00046916389670670355,0.020566039882209692
2026-03-31 12:21:48.741411,0.279979,0.19566303077457378,-19.117094238978897,0.2130205071165514,-19.11381730836482,0.017357476341977623,0.0032769306140778554,0.017664095199352657
