step,angle,given_mag,mean_meas,mean_dir,n,mean_err,dir_err,angle_group
1,-131.807738,5.0,4.006897849169545,-136.51274834155635,101,-0.9931021508304552,-4.705010341556346,1
2,-131.807738,10.0,6.445591123654667,-135.7948413265139,101,-3.5544088763453328,-3.9871033265139033,1
3,-131.807738,15.0,11.975784571791449,-135.4377552953146,100,-3.024215428208551,-3.6300172953145875,1
4,-131.807738,24.0,16.6743156893917,-134.0394059097794,100,-7.325684310608299,-2.2316679097793894,1
5,-121.51474,24.0,17.68212136420137,-121.90513146754209,100,-6.317878635798628,-0.39039146754208787,2
6,-121.51474,15.0,16.41783135472753,-124.86526059169572,100,1.4178313547275287,-3.3505205916957124,2
7,-121.51474,10.0,12.16998952063386,-124.26881200390234,99,2.1699895206338606,-2.754072003902337,2
8,-121.51474,5.0,7.0101955965514104,-125.60753621963585,101,2.0101955965514104,-4.092796219635844,2
9,-111.221743,5.0,6.290403021320768,-120.36964859342561,99,1.2904030213207678,-9.147905593425605,3
10,-111.221743,10.0,8.436770188658528,-113.17009840606107,100,-1.563229811341472,-1.9483554060610686,3
11,-111.221743,15.0,12.043067681904308,-113.07347187466986,100,-2.956932318095692,-1.8517288746698597,3
12,-111.221743,24.0,19.546071116453078,-108.488389748736,101,-4.453928883546922,2.733353251264006,3
13,-100.928745,24.0,20.92377838703452,-103.26826074907407,100,-3.0762216129654796,-2.3395157490740672,4
14,-100.928745,15.0,17.8741404235717,-105.21800114690446,100,2.874140423571699,-4.2892561469044495,4
15,-100.928745,10.0,13.25118594873623,-105.21885964802311,100,3.2511859487362305,-4.290114648023106,4
16,-100.928745,5.0,6.396228750405745,-107.79997254671433,101,1.3962287504057453,-6.871227546714323,4
17,-90.635748,5.0,5.46839878480594,-97.62218196684181,99,0.4683987848059399,-6.986433966841801,5
18,-90.635748,10.0,9.162087735530777,-86.8874164782854,99,-0.8379122644692227,3.7483315217146043,5
19,-90.635748,15.0,13.247200655200635,-87.08750222460644,100,-1.7527993447993655,3.5482457753935677,5
20,-90.635748,24.0,21.01537836019814,-88.75653767265952,100,-2.9846216398018584,1.8792103273404877,5
21,-80.34275,24.0,23.351422509200805,-84.83667800860044,101,-0.6485774907991946,-4.493928008600449,6
22,-80.34275,15.0,16.703618461595337,-81.57610350529582,100,1.7036184615953367,-1.233353505295824,6
23,-80.34275,10.0,12.349473516962469,-81.78604754453993,100,2.349473516962469,-1.4432975445399308,6
24,-80.34275,5.0,6.861207684759793,-81.0355219212945,99,1.8612076847597931,-0.6927719212945078,6
25,-70.049753,5.0,6.581983784531213,-75.87630019650047,100,1.5819837845312126,-5.826547196500471,7
26,-70.049753,10.0,10.079238246228462,-71.8344137010455,101,0.07923824622846176,-1.7846607010455102,7
27,-70.049753,15.0,14.66155023621737,-70.1191387722317,99,-0.3384497637826307,-0.06938577223169773,7
