timestamp,pos_x,pos_z,Fxl,Fyl,Fml,Fdl,Fxg,Fzg,Fmg,Fdg,mag_error,dir_error,me_percent,de_percent,step,target_mag,target_angle
2026-06-15 11:20:36.615591,0.001562,-0.174373,14.799,-16.94,22.493865852716382,-48.859123009541776,15.162774,-18.603502,24.0,-50.818263,1.5061341472836176,1.959139990458226,6.275558947015074,0.5442055529050628,27,24.0,-50.818
2026-06-15 11:20:36.625591,0.001562,-0.174373,14.968,-16.551,22.315389868877485,-47.875188735236954,15.162774,-18.603502,24.0,-50.818263,1.6846101311225148,2.943074264763048,7.019208879677145,0.8175206291008467,27,24.0,-50.818
2026-06-15 11:20:36.635591,0.001562,-0.174373,14.911,-16.628,22.334464511154057,-48.11613675260417,15.162774,-18.603502,24.0,-50.818263,1.6655354888459435,2.7021262473958316,6.939731203524764,0.7505906242766199,27,24.0,-50.818
2026-06-15 11:20:36.645591,0.001562,-0.174373,,,,,15.162774,-18.603502,24.0,-50.818263,,,,,27,24.0,-50.818
2026-06-15 11:20:36.655591,0.001562,-0.174373,14.797,-16.57,22.215222461186386,-48.23516547242744,15.162774,-18.603502,24.0,-50.818263,1.7847775388136142,2.583097527572562,7.436573078390059,0.7175270909923783,27,24.0,-50.818
2026-06-15 11:20:36.665591,0.001562,-0.174373,14.829,-16.476,22.16659236328399,-48.01163475277739,15.162774,-18.603502,24.0,-50.818263,1.8334076367160108,2.806628247222612,7.639198486316712,0.7796189575618366,27,24.0,-50.818
2026-06-15 11:20:36.675591,0.001562,-0.174373,14.959,-16.681,22.405968892239407,-48.115236713962204,15.162774,-18.603502,24.0,-50.818263,1.5940311077605926,2.7030262860377974,6.641796282335803,0.7508406350104992,27,24.0,-50.818
2026-06-15 11:20:36.685591,0.001562,-0.174373,14.86,-16.496,22.202198449703126,-47.98670037503929,15.162774,-18.603502,24.0,-50.818263,1.7978015502968745,2.8315626249607107,7.490839792903643,0.7865451736001974,27,24.0,-50.818
2026-06-15 11:20:36.695591,0.001562,-0.174373,14.988,-16.671,22.4179032248781,-48.04299296733881,15.162774,-18.603502,24.0,-50.818263,1.5820967751219008,2.77527003266119,6.592069896341253,0.7709083424058861,27,24.0,-50.818
2026-06-15 11:20:36.705591,0.001562,-0.174373,15.349,-16.146,22.277457597311233,-46.449594936285024,15.162774,-18.603502,24.0,-50.818263,1.7225424026887666,4.368668063714978,7.177260011203194,1.2135189065874938,27,24.0,-50.818
