step,angle,given_mag,mean_meas,mean_dir,n,mean_err,dir_err,angle_group,sweep_dir
0,-142.404424,5.0,2.832506623754567,-147.32801874254702,101,-2.167493376245433,-4.92359474254701,1,ascending
1,-142.404424,10.0,7.512705575879378,-147.9543299135207,101,-2.4872944241206216,-5.549905913520689,1,ascending
2,-142.404424,15.0,11.487428243428818,-147.52400300363198,99,-3.512571756571182,-5.119579003631969,1,ascending
3,-142.404424,24.0,18.34791882572436,-146.20945381738622,100,-5.65208117427564,-3.805029817386213,1,ascending
4,-124.366549,24.0,16.886845049890212,-120.30172046291591,101,-7.113154950109788,4.064828537084097,2,descending
5,-124.366549,15.0,16.40732723813126,-129.97676824099972,99,1.4073272381312592,-5.610219240999712,2,descending
6,-124.366549,10.0,13.539648876342897,-133.12839235150975,100,3.5396488763428966,-8.76184335150974,2,descending
7,-124.366549,5.0,6.441748275946942,-127.12891964233057,100,1.4417482759469422,-2.7623706423305663,2,descending
8,-106.328674,5.0,6.327987435264401,-121.29902309504533,100,1.3279874352644008,-14.970349095045322,3,ascending
9,-106.328674,10.0,8.02529185647343,-105.2185121890476,100,-1.9747081435265699,1.1101618109524054,3,ascending
10,-106.328674,15.0,11.398735259502317,-99.13131078408871,100,-3.601264740497683,7.197363215911295,3,ascending
11,-106.328674,24.0,17.46413517260002,-99.98547379930673,100,-6.53586482739998,6.343200200693275,3,ascending
12,-88.290798,24.0,21.37185453438001,-79.64157835010715,100,-2.6281454656199905,8.649219649892842,4,descending
13,-88.290798,15.0,17.813743043782264,-89.04797717258403,100,2.8137430437822637,-0.7571791725840313,4,descending
14,-88.290798,10.0,11.59819445038278,-96.49374983513944,100,1.5981944503827794,-8.202951835139444,4,descending
15,-88.290798,5.0,6.2020839065888245,-90.82924627877453,100,1.2020839065888245,-2.5384482787745384,4,descending
16,-70.252923,5.0,5.653505649735047,-72.1266410498011,100,0.6535056497350471,-1.8737180498010986,5,ascending
17,-70.252923,10.0,9.521471706436923,-61.28801031070131,100,-0.4785282935630768,8.964912689298686,5,ascending
18,-70.252923,15.0,11.423538659573623,-66.65772302913692,100,-3.576461340426377,3.595199970863078,5,ascending
19,-70.252923,24.0,21.392821054316094,-62.864248094519255,100,-2.6071789456839056,7.388674905480741,5,ascending
20,-52.215048,24.0,20.990524348568975,-61.54092074540345,100,-3.009475651431025,-9.325872745403444,6,descending
21,-52.215048,15.0,18.31262963818296,-49.362280534743306,100,3.3126296381829583,2.852767465256697,6,descending
22,-52.215048,10.0,13.000600814894854,-49.61335907065648,100,3.000600814894854,2.601688929343524,6,descending
23,-52.215048,5.0,6.275508299658918,-54.06834235652076,100,1.2755082996589184,-1.853294356520756,6,descending
24,-34.177172,5.0,6.641929162091383,-37.268296946768785,100,1.6419291620913832,-3.0911249467687867,7,ascending
25,-34.177172,10.0,8.802238377098458,-37.12454126539401,100,-1.1977616229015418,-2.947369265394009,7,ascending
26,-34.177172,15.0,14.98704133452944,-35.185118924965515,100,-0.012958665470559794,-1.0079469249655162,7,ascending
27,-34.177172,24.0,21.85420523483457,-34.901747903069115,101,-2.14579476516543,-0.7245759030691161,7,ascending
