step,angle,given_mag,mean_meas,mean_dir,n,mean_err,dir_err,angle_group,sweep_dir
0,-142.404424,5.0,2.832506623754567,-147.32801874254702,101,-2.167493376245433,-4.92359474254701,1,ascending
1,-142.404424,10.0,7.512705575879378,-147.9543299135207,101,-2.4872944241206216,-5.549905913520689,1,ascending
2,-142.404424,15.0,11.487428243428818,-147.52400300363198,99,-3.512571756571182,-5.119579003631969,1,ascending
3,-142.404424,24.0,18.34791882572436,-146.20945381738622,100,-5.65208117427564,-3.805029817386213,1,ascending
8,-106.328674,5.0,6.327987435264401,-121.29902309504533,100,1.3279874352644008,-14.970349095045322,3,ascending
9,-106.328674,10.0,8.02529185647343,-105.2185121890476,100,-1.9747081435265699,1.1101618109524054,3,ascending
10,-106.328674,15.0,11.398735259502317,-99.13131078408871,100,-3.601264740497683,7.197363215911295,3,ascending
11,-106.328674,24.0,17.46413517260002,-99.98547379930673,100,-6.53586482739998,6.343200200693275,3,ascending
16,-70.252923,5.0,5.653505649735047,-72.1266410498011,100,0.6535056497350471,-1.8737180498010986,5,ascending
17,-70.252923,10.0,9.521471706436923,-61.28801031070131,100,-0.4785282935630768,8.964912689298686,5,ascending
18,-70.252923,15.0,11.423538659573623,-66.65772302913692,100,-3.576461340426377,3.595199970863078,5,ascending
19,-70.252923,24.0,21.392821054316094,-62.864248094519255,100,-2.6071789456839056,7.388674905480741,5,ascending
24,-34.177172,5.0,6.641929162091383,-37.268296946768785,100,1.6419291620913832,-3.0911249467687867,7,ascending
25,-34.177172,10.0,8.802238377098458,-37.12454126539401,100,-1.1977616229015418,-2.947369265394009,7,ascending
26,-34.177172,15.0,14.98704133452944,-35.185118924965515,100,-0.012958665470559794,-1.0079469249655162,7,ascending
27,-34.177172,24.0,21.85420523483457,-34.901747903069115,101,-2.14579476516543,-0.7245759030691161,7,ascending
