sample,pwm,current_A,torque_Nm,Kt_NmPerA
1,774,0.55556,-18.24944,-32.84899
2,1138,1.11111,-18.25119,-16.42607
3,1502,1.66667,-18.25156,-10.95094
4,1866,2.22222,-18.25225,-8.21351
5,2230,2.77778,-18.25562,-6.57203
6,2594,3.33333,-18.25037,-5.47511
7,2958,3.88889,-18.25044,-4.69297
8,3322,4.44444,-18.25131,-4.10655
9,3686,5.00000,-18.24969,-3.64994

kt_mean,-10.32623
kt_stdev,9.36720
kt_regression,-5.18720
