timestamp,magnitude,direction,given_Fx,given_Fz,measured_Fx,measured_Fy,measured_magnitude,measured_direction,t_sec,step
2026-06-18 12:37:26.669802000,0.0,0.0,0.0,0.0,0.193,0.02,0.19403350226185168,5.9162694112632135,0.0,0
2026-06-18 12:37:26.679802000,5.0,-129.159623,-3.157415,-3.876948,0.07180744752877453,0.055997291807718334,0.09106045360306782,37.94802068025222,0.01,1
2026-06-18 12:37:26.689802000,5.0,-129.159623,-3.157415,-3.876948,-0.12308480158076733,-0.07097299522476536,0.1420810840025914,-150.03144789514477,0.02,1
2026-06-18 12:37:26.699801999,5.0,-129.159623,-3.157415,-3.876948,-0.2788631472763952,-0.333860121049092,0.4350025693439188,-129.8709751916785,0.029999999,1
2026-06-18 12:37:26.709802000,5.0,-129.159623,-3.157415,-3.876948,-0.27806404565630954,-0.42639251743817375,0.5090483203135214,-123.10964205789875,0.04,1
2026-06-18 12:37:26.719802000,5.0,-129.159623,-3.157415,-3.876948,-0.2055467215179246,-0.36067391486860884,0.4151326626434202,-119.67865446710108,0.05,1
2026-06-18 12:37:26.729801999,5.0,-129.159623,-3.157415,-3.876948,-0.20573658165207465,-0.20588313665778457,0.29105911253545863,-134.9796001441006,0.059999999,1
2026-06-18 12:37:26.739802000,5.0,-129.159623,-3.157415,-3.876948,-0.17158122743682377,-0.2651010830324916,0.31578268133912446,-122.9121332880392,0.07,1
2026-06-18 12:37:26.749802000,5.0,-129.159623,-3.157415,-3.876948,-0.24354646427249166,-0.2369237319511292,0.33977600713011297,-135.78970680205498,0.08,1
2026-06-18 12:37:26.759802000,5.0,-129.159623,-3.157415,-3.876948,-0.05465689413648181,-0.118073544126476,0.13011048343324783,-114.83967824125398,0.09,1
2026-06-18 12:37:26.769802000,5.0,-129.159623,-3.157415,-3.876948,-0.20987317073170747,-0.2910720867208672,0.3588449629868315,-125.79292422796837,0.1,1
2026-06-18 12:37:26.779802000,5.0,-129.159623,-3.157415,-3.876948,-0.2732387950036734,-0.28322777369581187,0.3935446745767823,-133.97160963212602,0.11,1
2026-06-18 12:37:26.789802000,5.0,-129.159623,-3.157415,-3.876948,-0.20572551546391762,-0.24345199742268042,0.3187347843615243,-130.19898765827958,0.12,1
2026-06-18 12:37:26.799801999,5.0,-129.159623,-3.157415,-3.876948,-0.0869782196350318,-0.17063804042121805,0.19152689505568946,-117.00900805842376,0.129999999,1
2026-06-18 12:37:26.809802000,5.0,-129.159623,-3.157415,-3.876948,-0.21913207547170044,-0.3165984669811339,0.38503695380487724,-124.68885527638415,0.14,1
2026-06-18 12:37:26.819802000,5.0,-129.159623,-3.157415,-3.876948,-1.883087698722962,-1.9375381808704728,2.7018648159026393,-134.18349199258503,0.15,1
2026-06-18 12:37:26.829802000,5.0,-129.159623,-3.157415,-3.876948,-2.9543017730496484,-2.9046315602836907,4.143040365147359,-135.48572414478394,0.16,1
2026-06-18 12:37:26.839802000,5.0,-129.159623,-3.157415,-3.876948,-3.331091913530825,-3.312838751000801,4.697986156484818,-135.15741081556752,0.17,1
2026-06-18 12:37:26.849802000,5.0,-129.159623,-3.157415,-3.876948,-3.5029627435281556,-3.4991211102215103,4.951221720600292,-135.0314348353176,0.18,1
2026-06-18 12:37:26.859802000,5.0,-129.159623,-3.157415,-3.876948,-4.941552941176472,-4.772117647058825,6.869647174915178,-135.9993073962877,0.19,1
2026-06-18 12:37:26.869802000,5.0,-129.159623,-3.157415,-3.876948,-2.64792548704559,-2.6134275959027913,3.720418415174813,-135.37567431955748,0.2,1
2026-06-18 12:37:26.879802000,5.0,-129.159623,-3.157415,-3.876948,-2.628871815554211,-2.609826846810513,3.7043438275824503,-135.2082943862786,0.21,1
2026-06-18 12:37:26.889802000,5.0,-129.159623,-3.157415,-3.876948,-2.972820378151261,-2.930951680672269,4.174702235511774,-135.4063265687573,0.22,1
2026-06-18 12:37:26.899802000,5.0,-129.159623,-3.157415,-3.876948,-3.687455177743431,-3.7066329211746516,5.2284274213383295,-134.85139461680808,0.23,1
2026-06-18 12:37:26.909802000,5.0,-129.159623,-3.157415,-3.876948,-3.4516865931514795,-3.3278360417875796,4.794646291267177,-136.04658174680932,0.24,1
2026-06-18 12:37:26.919801999,5.0,-129.159623,-3.157415,-3.876948,-3.465436151397241,-3.2295348425893176,4.736997257642158,-137.01801619528388,0.249999999,1
2026-06-18 12:37:26.929802000,5.0,-129.159623,-3.157415,-3.876948,-3.1902207207207205,-3.280514157014157,4.575945954803895,-134.2005394799475,0.26,1
2026-06-18 12:37:26.939802000,5.0,-129.159623,-3.157415,-3.876948,-3.5225619669952377,-3.405,4.899231349030311,-135.9722263150992,0.27,1
2026-06-18 12:37:26.949802000,5.0,-129.159623,-3.157415,-3.876948,-3.430196290571867,-3.2710710973724852,4.73984733044416,-136.3602634332558,0.28,1
2026-06-18 12:37:26.959802000,5.0,-129.159623,-3.157415,-3.876948,-3.5341159729633556,-3.3402575595873336,4.862848576167579,-136.61532187819344,0.29,1
2026-06-18 12:37:26.969802000,5.0,-129.159623,-3.157415,-3.876948,-3.32316623931624,-3.3078448717948716,4.688845438910401,-135.13238526047485,0.3,1
2026-06-18 12:37:26.979802000,5.0,-129.159623,-3.157415,-3.876948,-3.1992346153846154,-3.3206653846153844,4.611065031080996,-133.9330102785403,0.31,1
2026-06-18 12:37:26.989802000,5.0,-129.159623,-3.157415,-3.876948,-3.5110293159609123,-3.2968527687296416,4.8162812455479855,-136.80193575431161,0.32,1
2026-06-18 12:37:26.999802000,5.0,-129.159623,-3.157415,-3.876948,-3.466865090403338,-3.317968011126565,4.798756638746803,-136.2571871600589,0.33,1
2026-06-18 12:37:27.009802000,5.0,-129.159623,-3.157415,-3.876948,-3.1978979416809605,-3.2042941680960557,4.527035714582084,-134.9427576289215,0.34,1
2026-06-18 12:37:27.019802000,5.0,-129.159623,-3.157415,-3.876948,-3.4654691997697182,-3.264706966033391,4.761070084405345,-136.70863560320146,0.35,1
2026-06-18 12:37:27.029802000,5.0,-129.159623,-3.157415,-3.876948,-3.297670962545309,-3.1900390656463955,4.588135026082453,-135.95045674480656,0.36,1
2026-06-18 12:37:27.039802000,5.0,-129.159623,-3.157415,-3.876948,-3.4973503389225815,-3.338498751337852,4.834980176365389,-136.33120079988842,0.37,1
2026-06-18 12:37:27.049802000,5.0,-129.159623,-3.157415,-3.876948,-3.303372981009664,-3.21460586605393,4.609334434138297,-135.7802520942715,0.38,1
2026-06-18 12:37:27.059802000,5.0,-129.159623,-3.157415,-3.876948,-3.1999736433060755,-3.197034736770967,4.523368482223592,-135.02632276198398,0.39,1
2026-06-18 12:37:27.069802000,5.0,-129.159623,-3.157415,-3.876948,-3.198150093270197,-3.126486870426173,4.472480762399254,-135.64917947594233,0.4,1
2026-06-18 12:37:27.079802000,5.0,-129.159623,-3.157415,-3.876948,-3.209629502080643,-3.0490008609556605,4.426977274702773,-136.47018160906052,0.41,1
