timestamp,enc1,enc2
1781176011.757596,0.000000,0.000000
1781176011.758711,0.000000,0.000000
1781176011.758787,0.000000,0.000000
1781176011.758847,0.000000,0.000000
1781176011.758904,0.000000,0.000000
1781176011.758963,0.000000,0.000000
1781176011.759302,0.000000,0.000000
1781176011.759611,0.000000,0.000000
1781176011.759953,0.000000,0.000000
1781176011.760209,0.000000,0.000000
1781176011.760544,0.000000,0.000000
1781176011.761380,0.000000,0.000000
1781176011.773783,0.000000,0.000000
1781176011.774860,0.000000,0.000000
1781176011.791817,0.000000,0.000000
1781176011.792578,0.000000,0.000000
1781176011.792681,0.000000,0.000000
1781176011.792750,0.000000,0.000000
1781176011.792811,0.000000,0.000000
1781176011.792872,0.000000,0.000000
1781176011.792930,0.000000,0.000000
1781176011.792991,0.000000,0.000000
1781176011.793047,0.000000,0.000000
1781176011.793107,0.000000,0.000000
1781176011.793165,0.000000,0.000000
1781176011.793270,0.000000,0.000000
1781176011.793441,0.000000,0.000000
1781176011.796862,0.000000,0.000000
1781176011.797039,0.000000,0.000000
1781176011.797248,0.000000,0.000000
1781176011.797404,0.000000,0.000000
1781176011.798398,0.000000,0.000000
1781176011.798516,0.000000,0.000000
1781176011.798668,0.000000,0.000000
1781176011.799429,0.000000,0.000000
1781176011.799735,0.000000,0.000000
1781176011.804124,0.000000,0.000000
1781176011.814196,0.000000,0.000000
1781176011.814438,0.000000,0.000000
1781176011.814676,0.000000,0.000000
1781176011.814884,0.000000,0.000000
1781176011.815077,0.000000,0.000000
1781176011.821391,0.000000,0.000000
1781176011.823120,0.000000,0.000000
1781176011.823720,0.000000,0.000000
1781176011.831540,0.000000,0.000000
1781176011.832383,0.000000,0.000000
1781176011.851020,0.000000,0.000000
1781176011.851213,0.000000,0.000000
1781176011.851286,0.000000,0.000000
1781176011.851352,0.000000,0.000000
1781176011.851422,0.000000,0.000000
1781176011.851501,0.000000,0.000000
1781176011.851587,0.000000,0.000000
1781176011.851672,0.000000,0.000000
1781176011.852951,0.000000,0.000000
1781176011.853037,0.000000,0.000000
1781176011.853105,0.000000,0.000000
1781176011.853171,0.000000,0.000000
1781176011.853230,0.000000,0.000000
1781176011.853287,0.000000,0.000000
1781176011.858378,0.000000,0.000000
1781176011.863303,0.000000,0.000000
1781176011.863665,0.000000,0.000000
1781176011.863747,0.000000,0.000000
1781176011.863807,0.000000,0.000000
1781176011.863870,0.000000,0.000000
1781176011.865663,0.000000,0.000000
1781176011.866263,0.000000,0.000000
1781176011.866521,0.000000,0.000000
1781176011.867044,0.000000,0.000000
1781176011.867341,0.000000,0.000000
1781176011.868156,0.000000,0.000000
1781176011.875259,0.000000,0.000000
1781176011.875482,0.000000,0.000000
1781176011.877311,0.000000,0.000000
1781176011.879634,0.000000,0.000000
1781176011.880304,0.000000,0.000000
1781176011.880430,0.000000,0.000000
1781176011.881785,0.000000,0.000000
1781176011.882128,0.000000,0.000000
1781176011.883948,0.000000,0.000000
1781176011.884078,0.000000,0.000000
1781176011.884163,0.000000,0.000000
1781176011.884247,0.000000,0.000000
1781176011.884332,0.000000,0.000000
1781176011.884409,0.000000,0.000000
1781176011.886095,0.000000,0.000000
1781176011.886622,0.000000,0.000000
1781176011.888511,0.000000,0.000000
1781176011.889949,0.000000,0.000000
1781176011.892732,0.000000,0.000000
1781176011.892872,0.000000,0.000000
1781176011.893000,0.000000,0.000000
1781176011.893104,0.000000,0.000000
1781176011.893229,0.000000,0.000000
1781176011.893335,0.000000,0.000000
1781176011.893417,0.000000,0.000000
1781176011.893479,0.000000,0.000000
1781176011.893536,0.000000,0.000000
1781176011.893595,0.000000,0.000000
1781176011.893655,0.000000,0.000000
1781176011.893714,0.000000,0.000000
1781176011.893772,0.000000,0.000000
1781176011.893835,0.000000,0.000000
1781176011.893894,0.000000,0.000000
1781176011.893952,0.000000,0.000000
1781176011.894018,0.000000,0.000000
1781176011.897829,0.000000,0.000000
1781176011.898631,0.000000,0.000000
1781176011.903687,0.000000,0.000000
1781176011.904755,0.000000,0.000000
1781176011.909424,0.000000,0.000000
1781176011.910504,0.000000,0.000000
1781176011.910575,0.000000,0.000000
1781176011.916286,0.000000,0.000000
1781176011.918413,0.000000,0.000000
1781176011.919047,0.000000,0.000000
1781176011.919255,0.000000,0.000000
1781176011.919625,0.000000,0.000000
1781176011.921068,0.000000,0.000000
1781176011.921979,0.000000,0.000000
1781176011.922131,0.000000,0.000000
1781176011.922314,0.000000,0.000000
1781176011.923005,0.000000,0.000000
1781176011.923547,0.000000,0.000000
1781176011.934326,0.000000,0.000000
1781176011.938116,0.000000,0.000000
1781176011.938498,0.000000,0.000000
1781176011.938873,0.000000,0.000000
1781176011.940577,0.000000,0.000000
1781176011.942007,0.000000,0.000000
1781176011.942495,0.000000,0.000000
1781176011.943335,0.000000,0.000000
1781176011.943705,0.000000,0.000000
1781176011.945769,0.000000,0.000000
1781176011.948600,0.000000,0.000000
1781176011.948800,0.000000,0.000000
1781176011.948887,0.000000,0.000000
1781176011.948967,0.000000,0.000000
1781176011.949042,0.000000,0.000000
1781176011.950365,0.000000,0.000000
1781176011.952599,0.000000,0.000000
1781176011.957162,0.000000,0.000000
1781176011.972113,0.000000,0.000000
1781176011.972341,0.000000,0.000000
1781176011.974860,0.000000,0.000000
1781176011.975019,0.000000,0.000000
1781176011.975132,0.000000,0.000000
1781176011.975212,0.000000,0.000000
1781176011.975296,0.000000,0.000000
1781176011.982314,0.000000,0.000000
1781176011.982979,0.000000,0.000000
1781176011.986538,0.000000,0.000000
1781176011.991342,0.000000,0.000000
1781176011.993470,0.000000,0.000000
1781176011.994009,0.000000,0.000000
1781176011.995230,0.000000,0.000000
1781176011.995821,0.000000,0.000000
1781176011.996071,0.000000,0.000000
1781176011.996282,0.000000,0.000000
1781176011.996510,0.000000,0.000000
1781176011.996737,0.000000,0.000000
1781176012.016377,0.000000,0.000000
1781176012.024043,0.000000,0.000000
1781176012.029720,0.000000,0.000000
1781176012.029966,0.000000,0.000000
1781176012.033458,0.000000,0.000000
1781176012.033778,0.000000,0.000000
1781176012.034435,0.000000,0.000000
1781176012.042155,0.000000,0.000000
1781176012.047482,0.000000,0.000000
1781176012.060294,0.000000,0.000000
1781176012.060702,0.000000,0.000000
1781176012.061060,0.000000,0.000000
1781176012.061161,0.000000,0.000000
1781176012.061537,0.000000,0.000000
1781176012.063514,0.000000,0.000000
1781176012.068951,0.000000,0.000000
1781176012.069420,0.000000,0.000000
1781176012.070661,0.000000,0.000000
1781176012.070851,0.000000,0.000000
1781176012.070975,0.000000,0.000000
1781176012.071855,0.000000,0.000000
1781176012.072719,0.000000,0.000000
1781176012.073880,0.000000,0.000000
1781176012.077496,0.000000,0.000000
1781176012.078227,0.000000,0.000000
1781176012.081121,0.000000,0.000000
1781176012.081260,0.000000,0.000000
1781176012.081381,0.000000,0.000000
1781176012.081502,0.000000,0.000000
1781176012.081806,0.000000,0.000000
1781176012.082239,0.000000,0.000000
1781176012.082515,0.000000,0.000000
1781176012.082657,0.000000,0.000000
1781176012.082814,0.000000,0.000000
1781176012.087426,0.000000,0.000000
1781176012.087759,0.000000,0.000000
1781176012.088118,0.000000,0.000000
1781176012.095120,0.000000,0.000000
1781176012.099191,0.000000,0.000000
1781176012.100665,0.000000,0.000000
1781176012.110285,0.000000,0.000000
1781176012.110475,0.000000,0.000000
1781176012.110559,0.000000,0.000000
1781176012.111738,0.000000,0.000000
1781176012.111829,0.000000,0.000000
1781176012.111898,0.000000,0.000000
1781176012.111965,0.000000,0.000000
1781176012.112025,0.000000,0.000000
1781176012.112086,0.000000,0.000000
1781176012.112144,0.000000,0.000000
1781176012.112201,0.000000,0.000000
1781176012.112258,0.000000,0.000000
1781176012.112314,0.000000,0.000000
1781176012.112371,0.000000,0.000000
1781176012.112428,0.000000,0.000000
1781176012.117573,0.000000,0.000000
1781176012.118244,0.000000,0.000000
1781176012.119323,0.000000,0.000000
1781176012.120362,0.000000,0.000000
1781176012.122192,0.000000,0.000000
1781176012.122995,0.000000,0.000000
1781176012.123091,0.000000,0.000000
1781176012.123292,0.000000,0.000000
1781176012.123756,0.000000,0.000000
1781176012.124031,0.000000,0.000000
1781176012.129566,0.000000,0.000000
1781176012.133077,0.000000,0.000000
1781176012.139533,0.000000,0.000000
1781176012.140955,0.000000,0.000000
1781176012.143572,0.000000,0.000000
1781176012.144861,0.000000,0.000000
1781176012.145092,0.000000,0.000000
1781176012.145191,0.000000,0.000000
1781176012.145266,0.000000,0.000000
1781176012.145349,0.000000,0.000000
1781176012.145427,0.000000,0.000000
1781176012.156404,0.000000,0.000000
1781176012.178429,0.000000,0.000000
1781176012.178625,0.000000,0.000000
1781176012.178781,0.000000,0.000000
1781176012.178901,0.000000,0.000000
1781176012.179196,0.000000,0.000000
1781176012.184078,0.000000,0.000000
1781176012.186563,0.000000,0.000000
1781176012.202872,0.000000,0.000000
1781176012.206842,0.000000,0.000000
1781176012.207471,0.000000,0.000000
1781176012.207786,0.000000,0.000000
1781176012.210116,0.000000,0.000000
1781176012.210230,0.000000,0.000000
1781176012.210328,0.000000,0.000000
1781176012.210421,0.000000,0.000000
1781176012.210605,0.000000,0.000000
1781176012.212374,0.000000,0.000000
1781176012.214802,0.000000,0.000000
1781176012.218089,0.000000,0.000000
1781176012.231411,0.000000,0.000000
1781176012.231907,0.000000,0.000000
1781176012.232037,0.000000,0.000000
1781176012.242001,0.000000,0.000000
1781176012.242361,0.000000,0.000000
1781176012.249645,0.000000,0.000000
1781176012.260906,0.000000,0.000000
1781176012.261225,0.000000,0.000000
1781176012.261392,0.000000,0.000000
1781176012.261490,0.000000,0.000000
1781176012.262424,0.000000,0.000000
1781176012.265012,0.000000,0.000000
1781176012.269604,0.000000,0.000000
1781176012.283437,0.000000,0.000000
1781176012.283926,0.000000,0.000000
1781176012.286465,0.000000,0.000000
1781176012.298403,0.000000,0.000000
1781176012.306397,0.000000,0.000000
1781176012.318230,0.000000,0.000000
1781176012.319248,0.000000,0.000000
1781176012.319875,0.000000,0.000000
1781176012.320162,0.000000,0.000000
1781176012.320471,0.000000,0.000000
1781176012.329962,0.000000,0.000000
1781176012.330640,0.000000,0.000000
1781176012.332960,0.000000,0.000000
1781176012.333367,0.000000,0.000000
1781176012.333719,0.000000,0.000000
1781176012.333943,0.000000,0.000000
1781176012.334271,0.000000,0.000000
1781176012.335852,0.000000,0.000000
1781176012.336329,0.000000,0.000000
1781176012.336907,0.000000,0.000000
1781176012.348390,0.000000,0.000000
1781176012.349008,0.000000,0.000000
1781176012.360650,0.000000,0.000000
1781176012.370610,0.000000,0.000000
1781176012.371061,0.000000,0.000000
1781176012.371740,0.000000,0.000000
1781176012.382636,0.000000,0.000000
1781176012.393863,0.000000,0.000000
1781176012.394165,0.000000,0.000000
1781176012.401803,0.000000,0.000000
1781176012.402030,0.000000,0.000000
1781176012.402247,0.000000,0.000000
1781176012.402486,0.000000,0.000000
1781176012.402695,0.000000,0.000000
1781176012.402971,0.000000,0.000000
1781176012.403239,0.000000,0.000000
1781176012.403652,0.000000,0.000000
1781176012.404005,0.000000,0.000000
1781176012.405997,0.000000,0.000000
1781176012.406459,0.000000,0.000000
1781176012.406688,0.000000,0.000000
1781176012.406830,0.000000,0.000000
1781176012.407252,0.000000,0.000000
1781176012.407510,0.000000,0.000000
1781176012.410252,0.000000,0.000000
1781176012.436067,0.000000,0.000000
1781176012.436369,0.000000,0.000000
1781176012.436714,0.000000,0.000000
1781176012.441464,0.000000,0.000000
1781176012.442595,0.000000,0.000000
1781176012.448120,0.000000,0.000000
1781176012.453998,0.000000,0.000000
1781176012.455972,0.000000,0.000000
1781176012.462673,0.000000,0.000000
1781176012.466413,0.000000,0.000000
1781176012.486760,0.000000,0.000000
1781176012.493223,0.000000,0.000000
1781176012.493427,0.000000,0.000000
1781176012.493518,0.000000,0.000000
1781176012.494322,0.000000,0.000000
1781176012.496330,0.000000,0.000000
1781176012.504149,0.000000,0.000000
1781176012.512717,0.000000,0.000000
1781176012.512996,0.000000,0.000000
1781176012.513084,0.000000,0.000000
1781176012.513923,0.000000,0.000000
1781176012.514089,0.000000,0.000000
1781176012.514214,0.000000,0.000000
1781176012.514330,0.000000,0.000000
1781176012.514445,0.000000,0.000000
1781176012.514554,0.000000,0.000000
1781176012.514668,0.000000,0.000000
1781176012.514862,0.000000,0.000000
1781176012.522852,0.000000,0.000000
1781176012.523644,0.000000,0.000000
1781176012.523791,0.000000,0.000000
1781176012.523922,0.000000,0.000000
1781176012.524060,0.000000,0.000000
1781176012.524138,0.000000,0.000000
1781176012.524565,0.000000,0.000000
1781176012.524936,0.000000,0.000000
1781176012.525097,0.000000,0.000000
1781176012.525216,0.000000,0.000000
1781176012.525320,0.000000,0.000000
1781176012.525627,0.000000,0.000000
1781176012.526186,0.000000,0.000000
1781176012.531977,0.000000,0.000000
