timestamp,magnitude,direction,measured_Fx,measured_Fy,given_Fx,given_Fz,measured_magnitude,measured_direction,t_sec,step,t_in_step
2026-06-22 12:25:55.792084000,0.0,0.0,-0.793,-0.4,0.0,0.0,0.8881717176312248,-153.2330007888189,0.0,0,0.0
2026-06-22 12:25:55.802084000,5.0,-151.388133,0.05362896355892097,0.0762290582110743,-4.3894190539509435,-2.3943684697248258,0.09320372872450666,54.87269796059243,0.01,1,0.0
2026-06-22 12:25:55.812084000,5.0,-151.388133,-0.4515005697789258,-0.23334255109017704,-4.3894190539509435,-2.3943684697248258,0.5082337165713885,-152.6693724833831,0.02,1,0.01
2026-06-22 12:25:55.822084000,5.0,-151.388133,0.07828091701646751,0.047195996125282524,-4.3894190539509435,-2.3943684697248258,0.09140768030749252,31.086006558558438,0.03,1,0.019999999999999997
2026-06-22 12:25:55.832084000,5.0,-151.388133,-0.005813496834174897,0.06148769736314819,-4.3894190539509435,-2.3943684697248258,0.061761911178841146,95.40110658397495,0.04,1,0.03
2026-06-22 12:25:55.842084000,5.0,-151.388133,0.6105205578264009,0.13041452272180817,-4.3894190539509435,-2.3943684697248258,0.6242942409356479,12.057846157278673,0.05,1,0.04
2026-06-22 12:25:55.852084000,5.0,-151.388133,0.19055043506284186,0.10405285207863356,-4.3894190539509435,-2.3943684697248258,0.2171093372665863,28.637392633553326,0.06,1,0.049999999999999996
2026-06-22 12:25:55.862084000,5.0,-151.388133,0.04992815533980541,0.041866019417475676,-4.3894190539509435,-2.3943684697248258,0.06515814820496504,39.98068270383273,0.07,1,0.060000000000000005
2026-06-22 12:25:55.872084000,5.0,-151.388133,-0.9157270905244405,-0.32832279256207547,-4.3894190539509435,-2.3943684697248258,0.9728062296449979,-160.27532326539753,0.08,1,0.07
2026-06-22 12:25:55.882084000,5.0,-151.388133,-0.7760069657286153,-0.30367483978824183,-4.3894190539509435,-2.3943684697248258,0.8333097978421631,-158.62810097556275,0.09,1,0.08
2026-06-22 12:25:55.892084000,5.0,-151.388133,-1.2548257786000612,-0.5898717237126118,-4.3894190539509435,-2.3943684697248258,1.3865555831177263,-154.82260077950303,0.1,1,0.09000000000000001
2026-06-22 12:25:55.902084000,5.0,-151.388133,-1.791289837642814,-0.8283024654239326,-4.3894190539509435,-2.3943684697248258,1.9735258439325754,-155.18391410864405,0.11,1,0.1
2026-06-22 12:25:55.912084000,5.0,-151.388133,-2.9051404255319127,-1.3585787234042557,-4.3894190539509435,-2.3943684697248258,3.207113505903163,-154.9370236749473,0.12,1,0.11
2026-06-22 12:25:55.922084000,5.0,-151.388133,-2.46822777928785,-1.0104240282685513,-4.3894190539509435,-2.3943684697248258,2.667040511006662,-157.73716764904407,0.13,1,0.12000000000000001
2026-06-22 12:25:55.932084000,5.0,-151.388133,-3.0734202348066284,-1.1330524861878448,-4.3894190539509435,-2.3943684697248258,3.2756251122763254,-159.762998694967,0.14,1,0.13
2026-06-22 12:25:55.942084000,5.0,-151.388133,-2.3615983263598337,-1.010961878196188,-4.3894190539509435,-2.3943684697248258,2.5688889766261855,-156.82501954362692,0.15,1,0.13999999999999999
2026-06-22 12:25:55.952084000,5.0,-151.388133,-2.9207337413925023,-1.2073029839326703,-4.3894190539509435,-2.3943684697248258,3.16042182044128,-157.54194899902924,0.16,1,0.15
2026-06-22 12:25:55.962084000,5.0,-151.388133,-2.472361396303903,-1.076189938398358,-4.3894190539509435,-2.3943684697248258,2.69643387781782,-156.47707219819824,0.17,1,0.16
2026-06-22 12:25:55.972084000,5.0,-151.388133,-2.750037898936174,-1.1334271941489367,-4.3894190539509435,-2.3943684697248258,2.974452159645809,-157.60100859889252,0.18,1,0.16999999999999998
2026-06-22 12:25:55.982084000,5.0,-151.388133,-2.751727272727274,-1.1114943181818182,-4.3894190539509435,-2.3943684697248258,2.9677302105854477,-158.00493455308194,0.19,1,0.18
2026-06-22 12:25:55.992084000,5.0,-151.388133,-2.684039464882938,-1.1343103678929758,-4.3894190539509435,-2.3943684697248258,2.9138853546010672,-157.0904414653238,0.2,1,0.19
2026-06-22 12:25:56.002084000,5.0,-151.388133,-2.05094987654321,-1.0026438271604938,-4.3894190539509435,-2.3943684697248258,2.2829126221201834,-153.9474692460101,0.21,1,0.19999999999999998
