timestamp,magnitude,direction,Fx,Fz,T1_left,T3_right,tau1,tau2,sweep_step,sweep_dir,sweep_cycle
2026-06-19 14:55:17.143678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-1,,-1
2026-06-19 14:55:17.156453,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.161850,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.171543,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.179056,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.185858,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.191620,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.198322,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.204761,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.213360,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.218864,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.224511,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.234721,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.241221,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.246982,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.252247,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.258077,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.264152,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.269726,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.275189,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.280387,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.285771,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.292983,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.298524,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.305430,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.310649,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.319838,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.325849,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.331160,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.336693,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.346548,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.352041,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.357265,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
2026-06-19 14:55:17.362448,5.000000,-129.150427,-3.156793,-3.877455,4.978466,0.435786,-0.164289,0.014381,0,asc,0
