step,angle,given_mag,mean_meas,mean_dir,n,mean_err,dir_err,angle_group,sweep_dir
4,-96.705401,24.0,19.06703189432872,-101.97528784712684,99,-4.932968105671279,-5.269886847126841,2,descending
5,-96.705401,15.0,17.370111400598628,-104.16434390022991,100,2.3701114005986277,-7.458942900229914,2,descending
6,-96.705401,10.0,12.788437008291238,-101.94679102680588,101,2.788437008291238,-5.241390026805888,2,descending
7,-96.705401,5.0,6.589488993994129,-101.24636135798862,99,1.589488993994129,-4.540960357988624,2,descending
12,-76.716777,24.0,20.923243910609376,-83.0880143938065,101,-3.0767560893906243,-6.37123739380651,4,descending
13,-76.716777,15.0,16.350556142788097,-85.32716315699803,99,1.350556142788097,-8.610386156998032,4,descending
14,-76.716777,10.0,12.594150182065482,-81.63854812383289,100,2.5941501820654818,-4.921771123832897,4,descending
15,-76.716777,5.0,6.293900561868477,-76.50709151466853,100,1.293900561868477,0.20968548533146247,4,descending
20,-56.728153,24.0,22.00440532258366,-62.0661406987562,100,-1.9955946774163387,-5.337987698756201,6,descending
21,-56.728153,15.0,17.45175679201269,-58.35240305773536,101,2.4517567920126915,-1.6242500577353596,6,descending
22,-56.728153,10.0,12.451185335853184,-56.63719875301991,100,2.451185335853184,0.09095424698008969,6,descending
23,-56.728153,5.0,6.288185613182956,-61.10113188325391,99,1.2881856131829563,-4.372978883253914,6,descending
